@relation train_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute numberOfAnalystOpinions numeric
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute 52WeekChange numeric
@attribute fiftyDayAverageChangePercent numeric
@attribute twoHundredDayAverageChangePercent numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute revenueGrowth numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute _PER numeric
@attribute sector numeric
@attribute state numeric
@attribute In_SP500 numeric
@attribute In_NASDAQ numeric
@attribute is_Insolvent numeric
@attribute has_benefits numeric
@attribute target {0,1,2,3,4}

@data
0.65211,-0.289879,-0.216961,0.097472,-0.136195,-0.059671,-0.134527,0.171948,-0.186722,-0.138583,-0.132654,-0.245986,-0.036961,0.286971,0.961923,0.644635,0.05338,0.031921,0.069913,-0.069036,-0.251721,-0.319373,-0.214985,-0.149661,-0.111806,-0.140452,-0.279538,-0.229305,-0.018284,-0.268702,-0.433568,-0.305045,-0.153197,-0.060236,1.185828,0.053736,0.035676,0.053813,-0.002729,-0.434287,0.530102,-0.408287,-0.486223,0.665123,-0.248507,0.100141,-0.07524,8,35,0,0,0,0,1
-0.921428,-0.362561,-0.224729,-0.691041,0.754028,-1.868037,-0.838235,1.272929,-0.285785,-0.184549,-0.207531,0.165004,-0.038361,0.139654,0.619176,-0.073165,0.052719,1.335027,0.59632,-0.007467,-0.28343,-0.336223,-0.288292,-0.26612,-0.17298,-0.192927,-0.289215,-0.216507,-0.417434,0.325978,0.307755,-0.437821,-0.250024,-0.195834,-0.642815,-0.183513,-0.269053,-0.278036,-0.356555,-0.234176,-0.116186,-0.136131,2.489615,-2.868715,-0.252735,-0.295214,-0.032821,6,4,0,0,0,0,0
-0.195179,0.103165,-0.087134,-0.450696,0.056185,-0.369052,-0.04069,-0.879978,-0.341813,-0.123242,-0.130486,-0.298747,-0.038919,0.181765,-0.324753,0.080877,0.053062,0.008174,0.242711,-0.078702,-0.132276,0.069085,-0.141465,-0.059918,0.029328,0.547165,-0.225162,-0.1035,-0.170491,-0.397708,-0.527937,0.554574,-0.025834,0.141323,-0.312937,-0.164921,-0.267369,-0.241337,-0.452825,-0.751294,-0.379901,-0.767101,-0.497131,-0.223406,-0.208779,-0.262705,-0.147321,5,45,1,0,0,0,1
-0.316221,-0.371623,-0.189502,-0.677519,-0.406788,-1.123124,-1.084573,-0.258633,0.428489,-0.175958,-0.165536,-0.381286,-0.039246,-0.132603,-0.263137,-0.128536,0.0527,-0.049583,-0.337054,-0.094882,-0.092605,-0.239761,-0.090213,-0.155111,-0.223322,-0.241784,-0.254823,-0.223714,0.041544,-0.406961,-0.402711,-0.353173,-0.227577,-0.16817,1.877813,0.262459,0.187808,0.168876,1.264773,0.647501,0.284958,0.910523,-0.505267,0.805475,0.033153,0.387724,-0.202169,3,10,0,0,0,1,3
0.894193,-0.057656,-0.141709,0.081731,0.331994,1.321545,1.824194,-1.147048,0.772414,0.403547,0.377036,-0.226981,-0.038272,0.363745,0.378302,0.472991,0.053607,0.708892,0.248216,-0.041088,0.253024,-0.236876,0.619966,1.236926,1.026121,0.126754,1.139721,-0.051811,0.17231,-0.109486,-0.117805,-0.011938,1.12339,2.12787,-0.203101,-0.142228,1.102413,1.102885,0.569116,-0.741387,-0.907332,-0.719711,-0.528692,-0.539862,0.014979,-0.103605,-0.118589,0,5,1,0,0,0,2
-1.284552,-0.37177,-0.239057,-0.551568,-0.307045,-0.706355,-0.371054,-0.659237,-0.388274,-0.186156,-0.206678,-0.380891,-0.039216,-0.061971,-0.794197,-0.109258,0.05252,-0.03586,-0.101397,-0.04445,-0.271282,-0.282297,-0.286285,-0.258558,-0.174699,-0.192324,-0.289447,-0.211754,-0.388543,-0.270879,-0.315028,-0.354734,-0.244153,-0.200319,2.431121,0.16319,-0.288589,-0.309465,-0.492936,-0.909797,0.0361,-0.780641,4.240034,-2.871036,-0.251936,-0.254013,-0.095873,7,41,0,0,0,0,0
-0.558303,-0.244567,-0.045946,-0.680682,-0.280026,-1.959835,-1.152433,0.174673,-0.259688,-0.182783,-0.198827,-0.30555,-0.039363,-0.064778,-0.312631,-0.206968,0.05252,-0.114142,0.044325,-0.09089,-0.195172,0.584031,-0.20265,-0.241363,-0.167448,-0.081944,-0.293698,-0.184667,-0.326199,-0.496231,-0.561878,-0.138557,-0.218279,-0.193448,0.436375,-0.07292,-0.346444,-0.322118,-0.296938,3.304417,-0.54333,3.969241,-0.480501,1.529283,0.675661,-0.255804,-0.104412,2,44,0,0,0,0,4
-1.042469,-0.333072,-0.150197,-0.711838,-0.546215,0.326187,-1.545284,-0.272259,-0.350815,-0.186179,-0.208968,-0.266833,-0.038623,-1.239482,0.319086,-0.055648,0.052919,-0.045645,-1.011282,-0.064203,-0.284371,-0.321367,-0.290747,-0.266726,-0.188605,-0.396196,-0.296124,-0.196037,-0.417634,0.73994,0.623774,-0.357512,-0.25115,-0.197545,-0.480977,-0.107574,-0.349327,-0.325588,-0.477374,-0.010289,-0.899903,0.274136,0.992666,-0.244515,-0.251051,-0.298179,-0.202169,6,27,0,0,0,1,2
-1.042469,-0.308516,-0.219471,0.799226,-0.204175,-0.928166,-0.542746,-0.826837,-0.372927,-0.18295,-0.20477,-0.343069,-0.038454,0.158476,1.002302,0.798934,0.053699,0.225955,-0.029566,-0.035415,-0.28019,-0.302114,-0.279609,-0.243462,-0.168748,-0.140452,-0.301865,-0.238469,-0.409468,-0.34899,-0.446939,-0.201506,-0.227107,-0.188694,3.600228,0.271117,-0.324439,-0.307644,-0.368664,0.627688,1.778106,0.387873,0.969241,-2.089318,-0.253596,-0.293484,-0.099021,4,5,0,0,0,0,2
-0.558303,0.603496,0.134057,-0.471033,-0.181928,-0.501694,-0.527828,-0.453485,-0.369444,-0.103236,-0.118577,-0.301336,-0.039219,-0.005136,-0.419912,-0.150522,0.052681,0.366289,0.037616,-0.083745,0.07237,1.170547,0.027031,-0.087532,-0.033927,0.62618,-0.250379,-0.098499,-0.283332,-0.148405,0.128531,1.615595,-0.055803,-0.036528,0.095474,-0.10762,-0.305618,-0.278434,-0.489721,-0.82262,-0.54333,-0.786057,-0.51832,-0.34895,-0.061352,-0.288867,-0.102097,0,2,0,0,0,0,2
