@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
19,9,1,0,202.86,219.69,1.5625,1.145,844562,24301148160,25513545728,6.917647,10.321,0.20742,0.82164,0.34538,0.32834,0.07588,0.1571,2471977984,20.581,2031069056,853766016,512727008,4.26,199320992,1.664,1411719040,0.743,0.888,29.325,861779968,863937728,0,0,119792704,119313533,2848808,0.0238,3.34,0.0371,0.01108,1.03759,7000,48140461.72208,0,47.619718,1
4,7,0,0,208.02,220.02,5,1.188,220614,3229060096,3340025856,5.536422,0.968,0.02213,0.10541,0.05112,0.04353,0.0437,0.12556,3451782912,216.013,363844992,176458000,76375000,4.76,22956000,1.479,133922000,1.284,1.328,37.573,172891008,116724752,0,0,15522834,15225106,611824,0.0394,2.5,0.049,0.01811,1.01905,8500,3564314.800522,0,43.701681,2
11,2,0,0,19.63,648.6,15.25,0.823,10508419,6032298496,7810965504,2.505104,8.408,-2.47074,-0.99263,-2.82998,-3.0954,-0.21928,-0.54395,928990976,3.3,-922144000,-2629029120,-3056891904,-11.3,2825859072,9.197,2740926976,1.939,2.576,7.836,-2254796032,-2090154112,0,0,307300000,126930910,39292217,0.1279,3.11,0.4692,0.01009,0.74522,6800,349786495.150587,1,0,4
10,3,0,0,4.85,55.45,0.453125,1.008,7724146,2032635008,7734635008,0.752872,1.046,-0.03285,0.34582,0.1114,0.09457,0.02712,-0.0842,7397000192,17.754,2558000128,824000000,-243000000,-0.59,219000000,0.523,5920999936,0.468,1.119,6.442,161000000,124250000,0.058333,1.9574,419100000,390219819,38360993,0.0915,5.08,0.1485,0.00523,1.04338,23700,919124485.56349,1,0,3
18,7,0,0,17.24,32.82,12.19,1.522,1975940,2827139840,3488140032,1.780072,0.627,-0.05541,0.16694,0.02464,0.00705,0.00524,-0.28426,5559000064,34.995,928000000,137000000,-308000000,-2.22,18000000,0.11,679000000,1.231,1.345,9.685,7000000,-116250000,0,0,163987239,134385902,11717796,0.0715,5.27,0.1999,0.01317,1.07164,7540,70108415.074858,1,0,4
17,6,1,0,71.97,115.8975,0.105469,1.023,2662451,14308279296,16661877760,1.712919,4.118,0.1008,0.6696,0.27513,0.16571,0.03794,0.0501,4045700096,20.279,2708999936,1113100032,407800000,2.04,124900000,0.628,2478299904,0.908,2.116,42.016,816300032,276212512,0,0,198808921,197502746,7687009,0.0387,2.66,0.0401,0.00613,1.03371,16000,58984670.220868,0,35.279412,2
6,5,0,0,57.15,434.94,1.42,1.729,297562,778392192,1192725248,6.585618,1.178,-0.05334,0.96142,0.07085,0.08508,0.04739,-0.40908,1012155008,75.382,973102016,71709000,-53985000,-4.07,149131008,10.949,563464000,1.159,1.224,8.678,89236000,81127504,0,0,13620161,13263994,643702,0.0473,3.04,0.0578,0.18676,0.81405,927,64930168.24153,1,0,1
3,2,0,0,17.42,89.72,1.666667,1.077,934521,522233184,1039339200,0.863402,0.864,-0.01587,0.34522,0.08884,0.04662,0.01495,-0.03033,1203186944,40.174,415366016,106892000,-20444000,-0.69,7801000,0.26,524878016,0.047,0.504,20.176,104335000,108517872,0.065116,1.75,29978942,26829954,5665597,0.189,6.59,0.2273,0.01727,1.11808,7360,26014969.072165,1,0,3
7,6,0,0,4.53,31.53,1.111,2.076,5977296,677337600,567291584,3.335788,137.093,0,0,0,-52.939293,-0.3126,-0.57385,4138000,0.034,-67646000,-103730000,-113296000,-0.95,117458000,0.786,7412000,3.772,4.387,1.358,-76408000,-33263124,0,0,149522647,131929812,33035097,0.2209,6.98,0.26,0.09305,0.59988,156,5458026.509573,1,0,0
17,2,1,0,31.58,100.5,1.81,1.672,4702587,8595792896,38791929856,2.890353,2.254,0.03135,0.44951,0.13936,0.086,0.02212,0.21792,17211652096,59.435,7736788992,2398681088,536368000,1.83,2164406016,7.952,31591444480,1.085,1.218,10.926,2531934976,891623488,0,0,272191042,204056180,24752066,0.0909,5.2,0.147,0.24974,0.71655,60000,2891400739.52041,0,17.256831,2
9,0,0,0,21.05,360,1.62,1.229,14947018,13529164800,13811787776,4.783004,9.463,0.13063,0.47022,0.39521,0.29737,0.07635,0.09879,1459632000,3.009,686353024,576857984,190670000,0.4,111646000,0.174,394268000,0.526,1.606,4.401,449441984,93526872,0,0,642715694,632817872,23332347,0.0363,1.3,0.0369,0.01016,0.8406,2116,89586003.181095,0,52.625,1
3,7,0,0,12.28,38.75,5.233778,0.846,321600,433710912,548891904,0.341196,0.122,-0.00138,0.20579,0.02582,0.02196,0.01751,-0.00487,4495900160,127.363,925200000,116100000,-6300000,-0.18,18000000,0.511,134000000,1.45,1.516,35.991,114000000,147724992,0.02447,0.2586,31955844,30442031,669014,0.019,1.98,0.0219,0.04241,0.89766,5570,3723153.010475,1,0,2
38,1,0,0,671.52,785,69.285,1.674,1827089,138183884800,133782880256,20.85142,8.053,0.04852,0.31728,0.11593,0.09683,0.10001,0.14808,16613000192,81.594,5271000064,1926000000,806000000,4.5,6850999808,33.293,2449999872,1.215,1.473,32.205,2846000128,751374976,0,0,205777761,155794343,7008938,0.0341,4.86,0.0449,0.24324,0.70252,7691,76075139.636702,0,149.226667,2
7,2,0,0,169.57,189.51,2.875,0.869,232181,11199144960,19577843712,1.994965,0.64,0.03129,0.1658,0.04918,0.04544,0.04923,0.18087,30577500160,458.896,5069599744,1503699968,956800000,14.36,155300000,2.351,8516299776,0.171,0.9,84.999,961100032,387775008,0.029486,0.3299,66044372,17803581,1552406,0.0235,6.98,0.0883,0.211,0.77696,28400,100192940.811068,0,11.808496,2
19,6,1,0,348.77,567.26,20.175,0.59,2215673,78535434240,74058440704,1.793512,0.391,0.02832,0.26835,0.05013,0.0529,0.04651,0.12418,189253992448,828.608,50787000320,9486999552,5360000000,23.58,34792001536,154.509,30186000384,1.319,1.445,194.462,6454000128,12048000000,0.019185,0.2834,225178304,224658142,3202284,0.0142,1.59,0.0142,0.00164,0.93277,104200,155228272.793656,0,14.790925,2
5,2,0,0,53.05,59.88,23.46,1.394,430268,2063882368,2759882496,1.268532,0.822,0.03216,0.22394,0.14384,0.10899,0.05279,0.06402,3358000128,81.308,752000000,483000000,108000000,2.59,347000000,8.919,1043000000,1.246,1.863,41.82,265000000,190250000,0.019483,0.4015,38904475,35818183,2598649,0.0668,5.65,0.0996,0.02094,1.04101,12700,24940219.990435,0,20.482625,2
7,9,0,0,4.63,28.42,3.59,1.604,871884,422887584,730193664,0.584817,2.353,-0.35787,0.76412,0.23051,-0.01485,-0.00281,-0.15909,310367008,3.504,237159008,71544000,-111071000,-1.25,162615008,1.994,509532992,0.685,0.849,7.917,129878000,58568752,0,0,86046866,65410241,6353882,0.0738,8.49,0.0851,0.08874,1.06592,465,64359352.279904,1,0,1
15,4,0,0,380.18,7046.703,1,1.517,1490625,6922257408,6519057408,19.276949,14.921,0.23987,0.36049,0.22751,0.21036,0.05572,0.48106,436900000,25.763,157500000,99400000,104800000,6.16,833000000,45.75,429800000,1.792,2.594,19.722,114000000,118937504,0,0,17488642,16836974,4041329,0.222,2.86,0.2333,0.0451,0.84822,322,21792921.610384,0,61.717532,1
9,0,0,0,12.9,58.08,3.06,1.631,3566104,1931108096,5842107904,8.149084,0.999,-0.07043,0.18342,0.1135,0.04458,0.02977,-0.8527,5849999872,39.02,1073000000,664000000,-412000000,-2.74,502000000,3.353,4410999808,0.789,1.676,1.583,258000000,99250000,0.060901,5.5556,149698300,141503815,13540489,0.0905,4.32,0.133,0.00464,1.01132,6000,2786481243.209097,1,0,2
6,6,0,0,23.78,67.66,6.67,0.75,498368,1105652992,1529398912,1.459523,2.116,0.1864,0.4986,0.32757,0.24186,0.07309,0.18317,722678976,15.12,360329984,236730000,134708000,2.67,231751008,4.984,655497024,2.139,3.293,16.293,159655008,84179872,0,0,46495077,35345558,3977178,0.0855,8.17,0.1718,0.24014,0.71583,2028,40231818.817897,0,8.906367,2
5,9,0,0,48.75,59.71,1.42,1.05,872442,5030613504,5796701696,3.617811,3.409,0.14763,0.50276,0.22715,0.09958,0.06729,0.1909,1700612992,16.216,854996992,386300992,251054000,2.36,189696992,1.838,955785024,0.759,1.478,13.475,308508000,285156000,0,0,103192071,102069341,2957483,0.0287,3.07,0.0423,0.01155,1.00913,3103,70930242.96846,0,20.65678,0
15,6,1,0,23.09,95.19,2.898344,0.577,7502606,11859510272,19871510528,1.619783,1.825,-0.01424,0.38844,0.18729,0.15445,0.02734,-0.03213,10887000064,21.284,4228999936,2039000064,-247000000,-0.48,1686000000,3.283,9724999680,1.209,2.296,14.255,765000000,1707250048,0.034828,3.0769,513621061,511458716,27234805,0.053,4.06,0.0798,0.00371,1.02092,38000,682216743.598737,1,0,3
18,5,1,0,267.935,290.79,7.78,0.427,1948660,96558465024,98232967168,3.473901,15.271,0.58587,1,0.70686,0.66874,0.01737,0.13612,6432699904,17.89,6432699904,4546999808,3721400064,10.34,2098899968,5.824,3773400064,0.019,1.019,77.128,4196000000,2922299904,0.018285,1.0261,360377042,358794507,4126036,0.0114,2.16,0.0115,0.00451,0.91461,3760,48923867.648584,0,25.912476,3
2,7,0,0,7.25,76.68,0.3125,1.463,209407,149214192,424245216,0.587806,0.685,-0.16178,0.22553,0.07422,0.03744,0.00949,-0.30342,619580032,31.323,139734000,45988000,-170194000,-8.65,12427000,0.604,100378000,1.21,2.759,12.334,50547000,38337124,0,0,20581269,17163749,627144,0.0305,2.74,0.0315,0.04612,0.82206,1600,8138316.847738,1,0,3
8,2,0,0,39.62,185,0.424326,1.326,1378435,882285632,2022251648,1.910871,0.58,0.01331,0.32953,0.05664,0.02323,0.02171,0.10285,3483684096,156.556,1147986944,197326000,46379000,2.06,39643000,1.78,1179608960,0.14,0.5,20.734,218899008,24729376,0.024975,0.4854,22268694,19259748,5024417,0.2256,2.85,0.3744,0.008,1.17437,76730,56892493.488955,0,19.23301,4
8,1,0,0,47.24,74.71,10.22,1.106,1054492,7890875392,14522874880,2.230933,2.591,0.16985,0.76521,0.43336,0.25,0.06179,0.28265,5605000192,33.033,4288999936,2428999936,955000000,5.65,1283000064,7.681,7953999872,0.606,0.889,21.175,1680999936,1617250048,0.080732,0.3101,167038000,95731148,2652056,0.0159,2.3,0.0275,0.42381,0.43433,14000,375631635.041322,0,8.361062,3
4,10,0,0,31.68,41.79,10.49,0.91,1035551,6263902720,16560362496,2.019507,11.564,0.05307,0.64316,0.74022,0.22194,0.00962,-0.02001,1432000000,12.084,921000000,1060000000,76000000,0.65,281000000,2.384,9376000000,0.616,1.423,15.687,779000000,467249984,0.053087,2.6318,83263747,116735366,4035046,0.0342,3.97,0.0703,0.0139,0.92657,60,597692356.728501,0,48.738462,0
8,7,0,0,54.22,61.95,7.135,1.639,559564,1719204736,1637631616,7.694055,1.152,0.08156,0.19473,0.11102,0.12715,0.17199,0.64537,1420946048,44.382,276704992,157756992,115886000,3.49,173066000,5.458,91493000,0.849,1.578,7.047,166448000,123657000,0,0,31707943,31393400,4541160,0.1432,10,0.167,0.00703,1.1397,1945,12983255.285937,0,15.535817,1
8,2,0,0,61.8,75.49,6.39,1.614,1187907,6108510208,8162722816,1.010052,0.971,0.10717,0.24704,0.16083,0.14543,0.08846,0.15628,8403420160,82.373,2076012032,1351521024,900622016,8.65,130174000,1.317,2173785088,0.358,7.614,61.185,525412000,493459872,0,0,98843205,98220493,3723338,0.0377,3.39,0.0525,0.02955,1.00664,3000,35528072.043802,0,7.144509,1
9,9,0,0,8.37,173.33333,0.666667,0.443,109135,229547312,236581328,1.179039,1.892,-0.12493,0.6808,0.0892,-0.15443,-0.01726,-0.08018,125074000,4.665,85151000,11157000,-15626000,-0.58,66000000,2.407,73034000,0.338,1.273,7.099,16258000,-2117125,0,0,27425009,25339063,906890,0.0331,8.1,0.0422,0.10402,0.79394,621,10287927.877166,1,0,0
9,7,0,0,97.75,119.95,0.515625,1.295,295909,2938079744,3536373760,2.254798,2.217,0.19694,0.24188,0.20806,0.16407,0.06889,0.27277,1594765952,53.274,385744992,331812992,314065984,10.45,897000,0.03,599190976,1.193,1.731,43.352,503648000,143719504,0.007154,0.0679,30057082,29464056,917448,0.0305,3.75,0.046,0.01785,1.04924,3684,13821530.171618,0,9.354067,1
18,7,1,0,108.83,131.60918,4.099123,1.344,4567596,71216766976,83345768448,4.498781,3.561,0.09533,0.3636,0.17054,0.13665,0.04633,0.11653,23402000384,35.433,8509000192,3991000064,1990000000,3,731000000,1.117,11644999680,0.558,0.959,24.191,3367000064,2728624896,0.013532,0.4933,654385440,651826793,22980792,0.0351,5.67,0.0463,0.00236,0.92829,94000,481377358.521764,0,36.276667,2
