@relation 'train_processed_std_bal_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,46,44-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,46,44,48'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
7,0,0,1.184119,0.833244,0.087393,0.030276,-1.517062,0.289573,-0.249013,0.996044,-0.145235,0.155292,-0.21503,0.028883,0.036012,1.19093,0.430596,0.168813,0.84338,-0.251246,-0.267452,-0.183697,0.988265,-0.211851,0.335617,-0.025902,-0.191749,-0.084594,0.368222,-0.265906,-0.178417,-0.080789,0.027713,-0.880596,-0.784581,-1.614095,-0.96639,-0.080955,-1.073614,-0.398513,-0.657765,0.444556,0,-0.248254,0,0.441618,2
2,0,0,0.156621,-0.370918,1.681514,-0.909988,0.35721,0.843988,0.072321,0.655689,0.006806,0.087552,-0.30282,0.244831,0.036042,0.346871,0.25085,0.581597,0.136593,0.254806,0.544859,-0.045231,-0.001859,0.5343,-0.144486,1.15785,-0.537878,-0.717434,-0.405968,-0.073901,0.13191,1.054202,0.812731,0.752061,0.750379,0.634374,-0.1482,0.092303,-0.277211,-0.396677,-0.077382,1.027108,0,1.495265,0,0.419969,2
2,0,0,-0.932649,-1.598465,0.931248,-0.554353,-0.330911,-1.309584,-0.403673,-0.624627,-0.50903,-0.128925,-0.721033,-0.222725,0.035972,-0.280986,-0.070065,-0.509055,-0.17662,-0.857335,-0.682227,-0.376005,-0.47872,-1.87721,-1.387762,-0.173372,-1.958925,-2.35669,-0.428771,-0.383497,-0.384692,-0.689043,-0.602404,-0.788455,-0.76918,-0.016348,1.093979,0.611251,1.195668,-0.359204,0.693302,0.558375,0,0.068912,0,1.907398,0
6,0,0,-0.600708,3.529907,-0.728938,0.240187,-0.297699,-0.993961,-0.415054,-0.22816,3.464751,-0.137763,-1.372662,-0.414562,0.009939,-2.922055,-0.466025,-3.22474,-2.346948,-1.12721,-0.904944,-0.454542,-1.111995,0.239099,0.867695,-2.898554,2.803945,2.974248,-0.427295,-0.454246,-0.407712,-0.689043,-0.602404,-0.710998,-0.799019,0.099002,1.144922,0.674213,0.944527,-0.553263,1.239369,-1.680868,0,-2.879817,1,-1.585701,1
9,1,1,0.140598,-0.249346,-1.530913,-0.429447,0.783494,0.879014,-0.02036,-0.476293,-0.595428,0.146263,-0.28566,-0.001289,0.036009,0.931119,0.151219,1.000888,0.423315,1.056381,0.888861,0.561635,0.382462,0.877603,-0.003667,-0.076462,0.551731,0.362118,0.559672,0.184899,0.386781,0.23098,-0.117104,1.117407,1.187818,1.316677,0.280986,0.81003,0.257192,-0.562982,0.614546,2.155924,0,-0.417451,0,0.048231,3
8,0,0,-1.024315,-1.503875,0.32506,-0.396486,0.381607,-0.496873,-0.351152,-1.126006,0.623079,-0.03503,0.447237,0.796506,0.036013,-0.244076,-0.068557,-0.787139,-1.396255,-0.766302,-0.515723,-0.366878,-0.467128,-1.527971,-1.536276,0.230674,-1.673997,-0.636523,-0.089099,-0.347038,-0.314148,1.291724,3.476998,0.442442,0.521973,0.937361,0.69602,1.109792,0.748355,-0.506287,0.76811,-0.86712,0,0.302812,0,1.417069,1
5,1,0,1.759687,1.672413,-1.373119,-0.006155,-0.180685,1.848129,1.631048,0.230439,0.739089,0.513985,0.744375,0.676684,0.036089,0.406372,0.077012,0.829256,0.526598,1.48688,1.765853,1.168887,1.542339,0.890535,0.43606,1.023242,-0.331187,-0.754873,1.631723,0.886028,1.651539,-0.301054,-0.047844,0.686881,0.766867,-0.67064,-1.845689,-1.140621,-2.05013,-0.546568,-0.080438,1.087788,0,0.130907,0,0.632236,0
5,0,0,-0.364182,-1.062623,0.021932,-1.095611,-1.32762,-0.707502,-0.391212,-1.077864,0.030866,1.189642,1.001709,1.239206,0.036186,0.843902,0.154258,-0.760425,-0.698059,-0.682636,-0.416083,-0.231962,0.346673,-0.443634,-0.283685,-0.558094,-0.172743,0.245292,0.55627,-0.319517,-0.272145,-0.689043,-0.602404,-0.568563,-0.475985,-1.261187,-0.91712,0.293409,-0.901063,-0.364496,0.443283,-1.565953,0,-0.936401,0,-0.26806,2
5,0,0,-0.14842,1.286526,0.960275,1.889985,1.2791,-0.398609,-0.357358,0.583524,0.302294,-0.154913,1.063884,-0.399915,0.035977,-0.480245,-0.093184,-0.623989,-0.632126,-0.590261,-0.739081,-0.380031,-0.500044,-0.035639,0.097873,0.050004,1.199237,2.696875,-0.660868,-0.426146,-0.453709,-0.689043,-0.602404,-0.371202,-0.388082,1.282467,2.295586,-0.238062,1.979027,0.767353,-1.300925,-0.732911,0,0.449357,1,-1.585701,3
7,1,0,0.989383,0.543375,-0.850014,-0.144939,-0.289269,1.062077,0.144983,0.182939,0.304866,0.354189,-0.239355,0.29831,0.036038,0.569247,0.12306,0.444116,0.19068,0.09077,0.376463,0.176704,0.585631,0.228798,-0.268846,0.21934,-0.155121,-0.122117,0.871117,0.010388,0.217576,-0.375826,-0.22066,0.431152,0.513474,-0.86304,-1.74899,-0.981156,-1.816295,-0.535229,-0.110679,0.742003,0,-0.283758,0,0.515098,2
7,0,0,-0.139274,-0.204109,0.890375,-0.530066,-0.649903,-0.804456,-0.397651,0.93033,-0.013621,-0.38147,-0.135563,-0.53822,0.035944,-0.980034,-0.376163,-0.82163,-0.466907,-0.84903,-0.764178,-0.401332,-0.734865,-0.382994,0.155607,-0.671393,1.182609,0.964179,-0.9523,-0.410682,-0.365209,-0.689043,-0.602404,-0.983225,-0.976781,-0.038656,1.296053,1.287914,1.173359,0.728801,0.627661,-0.779904,0,-0.156675,1,-1.585701,2
4,0,0,-1.570622,-1.892722,0.444661,0.037215,0.874907,-0.887499,-0.358948,-1.963551,-0.584165,-0.121855,0.403373,0.670731,0.036055,-0.08199,-0.08215,0.082434,-0.175833,-0.070003,0.169936,-0.368679,-0.556714,-2.990499,-1.671274,0.422855,-0.466426,-0.88427,0.069049,-0.041965,-0.638805,2.105953,1.967572,0.520527,0.322213,1.125753,0.846,-0.014675,0.750575,-0.114822,0.22478,-0.829598,0,0.416107,1,-1.585701,0
6,0,0,1.339028,1.123557,1.306611,-0.365259,-0.235685,1.115238,0.090265,0.705672,0.931662,0.514009,0.911565,0.248803,0.036048,0.534965,0.110178,0.001913,-0.174812,0.012756,-0.226767,-0.065307,0.369478,1.643923,2.322441,-1.317998,1.565836,1.405103,0.781451,-0.097539,0.085307,-0.689043,-0.602404,0.116926,0.133614,-0.164502,-0.363117,0.175411,-0.558587,0.346298,-0.202741,0.190405,0,-1.893075,0,0.917122,2
10,1,0,-0.279693,-1.07911,-0.107875,-1.104286,0.999721,0.736257,0.174598,-0.372343,0.151082,0.111151,0.015196,0.408871,0.036026,-0.036936,0.042061,0.574507,-0.373725,0.483311,0.765663,-0.0167,-0.220678,0.380495,-0.818908,1.30128,-0.732772,-1.020834,0.031975,0.052479,-1.185057,0.36024,0.421334,1.38337,1.446187,1.459863,0.11025,0.708279,0.118271,-0.525402,0.571826,0.290511,0,1.388478,0,0.470956,3
6,1,0,1.866662,1.829816,-0.959027,-0.724364,0.29565,2.06968,2.579065,0.160088,0.176496,0.226185,-0.071752,0.155162,0.036016,0.237193,0.106288,1.386859,1.174317,2.171941,2.377604,2.160924,2.061634,1.642624,1.448963,1.532442,0.134165,0.087715,1.804126,1.349498,1.753968,-0.539425,-0.403442,0.88167,0.957544,-0.370018,-1.703271,-1.140621,-1.916914,-0.556611,-0.004738,1.639861,0,0.578597,0,0.540084,1
6,0,0,-1.093315,-1.219908,0.492124,-0.615071,-1.23326,-1.660134,-0.423172,0.082007,-0.261136,-0.444146,1.017071,-0.706667,0.03592,-1.412835,-0.279683,-1.432567,-1.13655,-0.902501,-0.758128,-0.386744,-0.602132,-0.649089,-0.08217,-1.71504,1.791497,1.912909,-1.20922,-0.411748,-0.364881,-0.689043,-0.602404,-1.106237,-1.072222,-0.900714,0.322582,0.912476,0.009515,-0.254345,0.262598,-1.359867,0,-1.131931,1,-1.585701,1
6,0,0,-0.001424,0.072762,-0.627231,-1.910969,0.012696,-0.507535,-0.382093,-0.054958,-0.355457,0.287906,0.581184,0.317929,0.036032,1.335942,0.260454,-0.343952,-0.038606,-0.471839,-0.434134,-0.273094,0.189034,0.298773,0.941492,-0.38334,1.17298,1.079573,0.04621,-0.288454,-0.241832,-0.689043,-0.602404,-0.689348,-0.644822,0.114247,1.135375,0.54605,1.070394,-0.331991,1.700824,-0.931667,0,-0.4423,0,0.104413,1
6,1,0,0.769272,0.438668,0.530357,0.120486,-0.02866,1.021578,0.11753,0.603999,0.28859,0.291536,0.261052,0.200031,0.036031,0.68129,0.194784,0.429677,0.017891,0.386965,0.227598,0.092798,0.277608,0.778415,0.333419,0.451949,0.310128,0.275543,0.27661,-0.063679,0.006159,-0.348921,-0.149892,0.618997,0.69918,-0.654068,-1.725925,-1.346098,-1.787701,-0.542572,0.065104,0.651372,0,0.323434,0,0.575794,2
6,0,0,-0.641556,-0.892481,1.236742,-0.618541,-0.563235,-0.628943,-0.393743,0.288051,-0.61741,-0.119108,-1.045461,-0.380353,0.035965,-0.279016,-0.041838,-0.228761,-0.279873,-0.876982,-0.724193,-0.371859,-0.469058,-0.051625,-0.131681,-2.527051,0.321622,-0.108478,-0.917775,-0.38965,-0.324788,-0.689043,-0.602404,-0.148189,-0.244536,-0.460171,-0.398742,0.237543,0.001203,0.1909,0.316141,-0.75609,0,-2.184601,0,1.753502,1
2,0,0,0.485851,0.455722,1.772731,0.245392,-0.872248,-0.239941,-0.335668,0.179441,-0.313689,0.013625,-0.575752,-0.077582,0.035998,0.257946,0.103099,-0.030044,0.537846,-0.60384,-0.484747,-0.309395,0.067797,-0.510828,-0.122369,0.11154,-0.900908,-1.447012,0.350016,-0.333843,-0.275182,-0.689043,-0.602404,-0.853026,-0.746303,-1.683456,-1.098652,-1.485902,-1.34486,-0.459311,0.928677,0.945646,0,-0.088692,0,0.573735,3
