@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,44,46'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
9,1,0,128.74,216,20,0.978,1798735,17823928320,20550725632,44.210167,4.325,0.17014,0.63974,0.24526,0.21871,0.0812,2.8803,4752099840,33.847,3040100096,1165500032,808499968,5.6,1154899968,8.342,3881700096,0.42,0.637,2.912,1480300032,1225512448,0,0,138449017,137532485,7447072,0.0538,4.78,0.0703,0.00662,0.97428,5518,0,1333001406.593407,0,22.989286,2
7,1,0,69.71,92.45,0.541667,1.303,1142325,9768433664,19691866112,5.291885,5.195,0.13683,0.38201,0.20265,0.2035,0.13332,0.27603,3790200064,26.342,1447900032,768099968,518600000,3.59,177900000,0.635,332900000,0.971,1.647,13.173,596099968,412337504,0.019319,0.3733,114259519,226059841,2100345,0.015,2.04,0.0185,0.00772,0.98898,12700,0,25271388.446064,0,19.417827,3
9,0,0,7.05,51.38,0.288446,1.097,419425,248280864,479780864,0.360817,0.466,-0.053,0.15833,0.04563,0.00832,-0.00576,-0.07623,1030099968,29.167,163100000,47000000,-54600000,-1.54,121100000,3.439,352600000,1.559,2.501,19.539,40600000,41037500,0.066667,0.3636,35217142,34751571,1361366,0.0387,2.74,0.0458,0.0365,0.93597,6500,0,18045959.363325,1,0,3
9,1,1,152.87,199.675,27.55,1.214,4899590,53312663552,50666123264,16.67612,16.799,0.04131,0.79941,0.00987,-0.04294,-0.00223,0.04447,3016056064,8.824,2411053056,29783000,124580000,0.37,3910970112,11.214,1264427008,3.337,3.432,9.167,965505024,823317376,0,0,323270704,321138462,13239993,0.038,3.17,0.0416,0.00832,0.88443,6500,0,137932476.055416,0,413.162162,1
7,0,0,11.21,39.48,5.27,2.069,8229371,2439996160,2198450176,10.61553,82.649,0,0.09823,0,-5.85605,-0.21712,-0.67359,26600000,0.143,2613000,-135094000,-128039000,-0.7,203412000,1.035,195072992,3.972,4.368,1.056,-89406000,-94511624,0,0,217662457,172956895,58031932,0.2666,7.3,0.3437,0.12682,0.46692,570,0,184728212.121212,1,0,0
9,1,0,22.96,26.44,6.756532,1.458,23020732,30294573056,50179571712,1.24088,1.517,0.03773,0.29878,0.14379,0.05495,0.02041,0.05356,33074999296,25.081,9882000384,4755999744,1136000000,0.85,3904999936,2.96,23725000704,0.512,0.951,18.503,2484000000,-252500000,0.023111,0.6118,1319450062,1313459759,47846926,0.0363,1.85,0.0413,0.00384,0.8776,61000,0,1282224542.182349,0,27.011765,2
7,1,0,233.34,279.38,0.888889,0.967,324317,13110511616,15183619072,4.396834,5.453,0.16342,0.5456,0.3013,0.26538,0.0769,0.15594,2784348928,48.946,1519140992,838913984,455008000,7.96,147788000,2.63,2220894976,0.941,1.694,53.07,612644992,364837504,0.013448,0.3925,56186303,50159198,1239961,0.0221,4.32,0.025,0.05598,0.80089,7700,0,41848407.311099,0,29.31407,2
6,0,0,2.18,165,1,0.832,15436793,788841472,540826496,1.067058,2.239,-1.61441,0.206,-1.55799,-1.89775,-0.27423,-0.53158,241524992,0.763,49754000,-376294016,-389920992,-1.21,301183008,0.832,53166000,2.796,3.271,2.043,-303409984,-143817120,0,0,361853896,303584563,72971971,0.2017,7.43,0.2193,0.00333,0.69431,838,0,26023494.860499,1,0,2
6,0,0,25.98,138.522,13,2.251,2587873,2628189440,1557694976,2.428945,25.844,0,0,0,-14.192181,-0.21017,-0.41936,60272000,0.679,-301404992,-423993984,-398583008,-4.5,1150337024,11.705,154803008,6.606,6.75,10.696,-344824000,-164037248,0,0,101162026,87651036,21380736,0.2114,7.13,0.2375,0.01192,1.05084,509,0,14472981.301421,1,0,0
4,0,0,11.34,221,2.375,1.383,546653,531776160,685149184,2.01959,1.324,0.05727,0.19561,0.12121,0.0981,0.04999,0.11778,517377984,11.054,101204000,62710000,29630000,0.62,31188000,0.665,178540992,1.519,2.269,5.615,54295000,42635124,0.003506,0.0645,46893842,46382230,6883429,0.1468,11.62,0.3919,0.01012,1.14608,3300,0,31797149.065004,0,18.290323,4
5,0,0,3.65,33,0.28,4.783,32860285,1173229568,1044384448,1.661356,10.613,-0.53515,0.42072,-0.18946,0.45025,-0.05983,-0.11343,98402256,0.556,41400036,-18643542,-52660392,-0.34,181165840,0.564,43745292,4.933,7.825,2.197,52478504,-166055152,0,0,321432722,315310440,53351181,0.166,1.95,0.1689,0.02058,0.41517,54,0,19911375.512062,1,0,0
8,0,0,13.64,41.29,11.9,0.821,5435618,3897397248,8022624768,1.247371,3.066,-0.02093,0.31888,0.21007,0.07166,0.01504,-0.01665,2616916992,9.176,834494976,549729984,-54785000,-0.19,105032000,0.369,4211343104,0.819,0.835,10.935,363736992,491597248,0.065789,7.6364,284797783,284211100,23111005,0.0811,3.49,0.1058,0.00051,1.10804,13755,0,385125112.391404,1,0,2
5,0,0,235.6,250.15,8.916667,1.207,190450,6693882368,10358981632,2.058685,5.102,0.21789,0.53029,0.32043,0.25345,0.03781,0.14064,2030400000,68.827,1076700032,650600000,442400000,13.64,361000000,12.706,2790000128,53.144,53.144,114.442,917400000,284124992,0.000171,0.0029,28412063,25711212,578233,0.0204,2.69,0.0277,0.0367,0.96852,4100,0,24379162.615124,0,17.272727,1
5,0,0,141.87,200.485,10.72,1.447,1672240,46349918208,49006465024,10.724977,10.151,0.09943,0.3801,0.24499,0.1955,0.02394,0.1343,4827668992,23.218,1834992000,1182716032,369512992,1.76,1531905024,6.981,13471129600,0.469,0.541,13.228,4058841088,1484232192,0.029029,2.3295,215934693,213506722,7276985,0.0332,4.64,0.0354,0.12295,0.83927,3776,0,1018379921.378893,0,80.607955,2
7,1,0,347.66,360.92,6.28125,1.404,863771,39088943104,42633940992,11.287662,5.289,0.12039,0.39534,0.19745,0.17631,0.07159,0.26847,8061199872,71.37,3186899968,1591699968,966200000,8.52,495000000,4.403,3875000064,0.64,1.06,30.8,1521799936,1186137472,0.014884,0.608,112434397,112077980,1951787,0.0174,2.65,0.0198,0.00175,0.86746,27000,0,125811690.38961,0,40.805164,2
6,0,0,26.76,71.71,5.65,2.819,831704,1608113664,634292608,1.602011,1444.858,0,0,0,-330.0205,-0.10507,-0.12819,439000,0.007,-67949000,-142796992,-105641000,-1.81,996011008,16.574,22190000,46.854,47.035,16.704,-59793000,-30383376,0,0,60093932,44967087,8932119,0.1486,12.04,0.2136,0.0659,1.10081,103,0,1328424.329502,1,0,0
8,1,0,259.62,363.36,14.625,0.823,482551,17931556864,23675101184,2.967119,12.54,0.42392,0.68718,0.63736,0.33939,0.02947,0.1512,1887956992,29.362,1297360000,1203315968,800348992,12.44,61779000,0.959,6812720128,0.101,0.351,87.499,1032155008,928902016,0.038975,0.8071,64404022,63796692,1685238,0.0262,4.24,0.0356,0.01163,1.03273,1712,0,77860548.440554,0,20.869775,3
2,1,0,82.76,180.81,16.110645,1.549,2336803,18021801984,25206802432,1.859817,1.273,0.05118,0.19193,0.15879,0.11002,0.05565,0.09464,19793999872,85.323,3799000064,3143000064,1013000000,4.42,1448000000,6.65,8348000256,1.2,1.762,44.499,2342000128,1568999936,0,0,217759811,215614877,4765122,0.0219,2.14,0.0258,0.00488,1.01824,141000,0,187599727.094991,0,18.723982,2
