@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,12,14-19,21,25-27,29-31,36-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute totalDebt numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
8,7,1719204736,1637631616,1.152,1420946048,276704992,157756992,115886000,91493000,166448000,123657000,0,0,15.535817,1
8,2,6108510208,8162722816,0.971,8403420160,2076012032,1351521024,900622016,2173785088,525412000,493459872,0,0,7.144509,1
9,9,229547312,236581328,1.892,125074000,85151000,11157000,-15626000,73034000,16258000,-2117125,0,0,0,0
9,7,2938079744,3536373760,2.217,1594765952,385744992,331812992,314065984,599190976,503648000,143719504,0.007154,0.0679,9.354067,1
18,7,71216766976,83345768448,3.561,23402000384,8509000192,3991000064,1990000000,11644999680,3367000064,2728624896,0.013532,0.4933,36.276667,2
18,7,25501009920,26812008448,5,5361999872,3211000064,1326000000,893000000,2862000128,1005000000,777124992,0.004121,0.1173,28.703911,2
20,9,5191189504,4758475264,3.254,1462569984,1232765056,-5667000,23799000,1785741952,350644000,240079872,0,0,0,2
22,4,9245632512,15821632512,1.767,8952000512,4604000256,4432000000,595000000,6595999744,3928000000,-1010750016,0.032931,0.5286,15.845815,1
13,9,9604593664,9519335424,19.482,488631008,325920000,68519000,31639000,21898000,159856992,136467248,0,0,305.043478,0
2,4,155646928,187669536,2.186,85840000,36502000,26641000,1106000,37566000,33052000,9896750,0.105727,16,151,2
9,1,15017398272,19836098560,1.247,15910800384,2955200000,2552499968,1379200000,7110300160,1916999936,1729062528,0.036265,0.4006,11.090129,2
5,2,2796708096,3273464064,0.81,4041884928,944083008,513959008,365756000,1099265024,422752000,370423616,0,0,8.132316,2
