@relation 'train_std_bal_main_finantial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R2-3,45'

@attribute numberOfAnalystOpinions numeric
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
1.317934,0.387891,-0.025269,0.581229,-0.322516,-0.264293,0.081355,0.139267,-0.263956,-0.036528,0.276304,0.348539,0.356439,0.052482,-0.222973,-0.03423,-0.190353,-0.324419,-0.109077,-0.003096,0.000255,0.048888,0.102807,0.088464,0.893814,-0.134718,-0.274953,0.638336,0.02059,0.188077,0.595198,0.062001,0.008812,0.008937,-0.221562,-0.720083,0.211951,-0.708062,-0.536151,0.496035,-0.238112,-0.092504,0.055381,2
-1.122246,-0.406007,-0.000236,3.21561,-0.939317,-0.33153,-0.171215,-0.169124,-0.392649,-0.039768,-0.046065,-0.264346,-0.097773,0.052272,0.066651,-0.003421,-0.09668,0.671875,-0.088787,-0.130075,-0.146499,0.157774,-0.137757,-0.08688,-0.052886,-0.21804,-0.283679,0.724685,-0.168313,-0.058712,0.66756,-0.087252,-0.272072,-0.280865,-0.173122,1.612189,1.716106,1.220649,0.874093,0.473819,5.119043,-0.297483,-0.211341,2
-0.390192,-0.633225,-0.451289,0.020284,0.029942,0.021529,-0.174269,-0.181039,-0.403813,-0.039582,-0.085629,0.443804,0.409526,0.052885,-0.054535,-0.15056,-0.241819,-0.315642,-0.177004,-0.095912,-0.185808,-0.454412,-0.163736,-0.29077,-0.209473,-0.32974,-0.43137,-0.242869,-0.070761,-0.376741,1.898771,0.20317,-0.078272,-0.127125,0.372842,0.470287,-0.238896,0.328179,-0.160772,0.266874,-0.273529,-0.19796,-0.282303,0
0.097844,-0.224729,-0.310763,-0.716537,-1.140512,-0.224203,-0.059528,-0.080961,-0.240103,-0.039484,0.092729,-0.001203,-0.049612,0.052523,0.077769,0.251127,0.009293,-0.185784,0.082747,-0.011948,0.059276,0.119059,0.061931,-0.002113,-0.228578,-0.435992,-0.537393,-0.115487,0.150701,0.557892,-0.46538,-0.118184,0.047341,-0.012345,-0.174554,-0.71039,0.211951,-0.718912,1.661451,-1.222311,-0.182026,-0.257589,-0.156619,3
2.538025,-0.266199,-0.070415,-0.709539,0.153302,0.82886,0.256179,0.245139,0.039706,-0.039427,-0.000443,-0.052245,-0.17255,0.052303,0.294793,0.261616,0.755673,-0.219123,0.897577,0.166869,0.21929,-0.177355,0.477639,-0.080524,0.298727,-0.207823,-0.146678,-0.400554,0.153898,0.55525,0.410384,-0.006782,0.863438,0.880038,0.835166,-0.743348,-0.809438,-0.657877,-0.412708,-0.375128,0.648982,0.730687,-0.024292,2
-0.024165,1.250451,0.500191,-0.554766,0.119525,-0.375541,-0.148264,-0.107698,-0.360335,-0.03983,-0.05913,-0.896252,-0.227162,0.052216,0.153594,0.114593,0.540161,9.889585,0.053223,-0.06873,-0.063399,3.662722,-0.148626,-0.000806,0.513016,-0.439398,-0.358506,4.468817,-0.183925,-0.025722,-0.347521,-0.119903,-0.308968,-0.293416,-0.482889,0.193051,0.850319,-0.046169,-0.427685,0.729164,0.074912,-0.324477,-0.213215,1
-1.000237,-0.404082,-0.329682,-0.428424,-0.78218,-0.319478,-0.174988,-0.190741,-0.173848,-0.0391,-0.016828,1.329358,0.186996,0.052571,0.262439,0.060811,-0.300505,-0.289393,-0.250312,-0.241886,-0.182219,-0.281403,-0.156557,-0.20742,-0.337093,-0.405116,-0.529321,-0.363209,-0.232678,-0.168655,-0.664803,-0.129392,-0.291567,-0.27341,-0.33509,1.181795,0.259829,1.337294,-0.372742,1.61692,-0.251575,-0.253816,0.027107,0
-0.63421,-0.518436,-0.316998,-0.696189,0.122462,-0.223297,-0.169192,-0.165168,-0.37101,-0.03947,-0.012789,-0.59529,-0.171213,0.052351,-0.199403,-0.012749,-0.21846,-0.187683,-0.231136,-0.232313,-0.154814,-0.165257,-0.084103,0.027704,0.024161,-0.246192,-0.326656,-0.063796,-0.139495,-0.207626,0.516755,-0.078002,-0.212332,-0.201798,-0.06033,0.671913,0.894207,0.535699,-0.453827,0.085784,-0.214525,-0.142029,-0.18489,2
0.58588,0.295017,-0.056823,-0.609196,-0.24615,-0.154384,0.032866,0.050628,-0.303358,-0.039856,-0.085873,-1.226718,-0.2414,0.052195,-0.092892,-0.093798,2.406309,2.286862,0.067183,0.256957,-0.081863,-0.113233,0.175505,0.239221,0.271336,-0.26163,-0.27059,0.86695,0.238194,0.344636,0.598898,0.135731,-0.021815,-0.000936,-0.077298,-0.469989,-0.310712,-0.573784,-0.488564,-0.251865,-0.166509,-0.247405,0.19279,2
4.002133,0.810107,0.526514,10.902836,0.019662,0.09699,0.176596,0.150724,1.768959,-0.035053,-0.608722,0.739509,-0.754785,0.051354,-1.633627,-0.967636,-0.226787,-0.358557,-0.130631,-0.409962,-0.383701,-0.914156,0.104402,0.093294,-0.254954,-0.177401,-0.300695,-0.439735,-0.157813,0.025741,-0.664803,-0.129392,0.006545,0.018474,-0.093468,-0.549477,-0.845346,-0.680935,-0.252933,-1.053624,-0.180068,-0.022795,-0.282303,1
