@relation 'train_processed_std_bal_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-1.034476,7,0,0,0.160048,0.214251,0.998958,-0.718746,-0.940785,-0.458201,-0.490341,2.250315,-1.206521,-0.043241,-1.114721,-0.573506,0.094063,0.007868,4.172236,0.362716,1.09657,-0.29443,-0.362423,-0.293306,-0.013867,0.114561,0.790508,-0.021193,-1.150728,-0.625359,-1.752412,-0.320334,-0.251229,0.125535,0.021288,-0.787828,-1.093336,-0.607609,0.250221,1.108573,0.456978,-0.425823,0.323326,2.279963,0.967278,0,0.308788,3
0.800029,9,1,0,1.135258,0.726785,-0.624829,-0.053584,-0.405576,0.852405,0.745561,0.822809,1.080286,0.476492,1.572842,0.693678,0.132045,0.583904,0.216848,-0.044122,-0.123531,-0.155852,-0.212564,-0.118182,0.238181,-0.303527,-0.59108,0.123943,-0.407913,-0.899401,0.520794,-0.162841,0.045689,-0.690137,-0.584779,0.005578,0.102184,-0.488787,-0.72997,-0.185098,-0.504821,-0.470825,0.77305,0.225654,-0.162692,0,0.80048,1
-1.034476,7,0,0,1.155701,0.728357,0.265172,0.025645,-1.508279,-0.406901,-0.538046,0.594214,-0.953383,-0.062607,-1.371305,-0.558821,0.0944,0.128453,0.11497,0.149091,1.691158,-0.349505,-0.3774,-0.324863,0.332937,-1.569299,-0.670104,-0.977324,0.15504,-0.386429,0.738402,-0.362729,-0.298915,-0.690137,-0.584779,-1.791166,-1.668717,-1.77833,-0.079996,-0.719994,-0.166401,-0.400208,0.659098,0.328202,-1.45357,0,0.748709,2
-0.300674,3,0,0,-1.903437,-0.715059,-1.218249,-0.306014,1.412507,-0.695694,-0.007913,-1.453551,-0.886791,-0.227443,-0.383072,-0.302243,0.101146,-0.106207,-0.562576,0.590168,-0.233921,-0.094647,-0.219808,-0.476137,-0.680944,-0.248386,-1.205,0.794295,-0.883587,-0.604689,-0.809903,-0.366179,-0.295445,2.049161,1.56066,1.106728,1.121432,1.691012,1.006438,0.589217,1.182356,-0.529589,0.808638,0.869792,1.299838,1,-1.592794,3
0.677729,7,0,0,-0.871216,-1.264304,1.089188,0.641059,0.292633,-0.489838,-0.510653,-0.57037,-1.326557,-0.295754,-1.118379,-0.671531,0.089578,-0.415879,-1.20879,0.424858,0.278668,-0.283976,-0.387003,-0.506925,-0.989845,-1.711731,-1.552308,-0.21829,0.11166,-0.370216,-0.451908,-0.410864,-0.40636,-0.690137,-0.584779,0.281691,0.204509,0.696799,0.688412,0.657019,1.543924,-0.449831,0.982332,0.264904,0.023723,1,-1.592794,4
0.555429,6,1,0,0.291849,0.05703,-1.504303,-0.278376,0.537588,0.521916,0.476567,-0.609838,0.290766,0.169308,0.947864,0.394664,0.110549,0.046931,-0.128773,0.240968,-0.134611,-0.077108,-0.14945,-0.167881,-0.182531,-0.577258,-1.131799,0.387074,-0.201531,0.207347,0.836532,-0.176037,-0.225362,-0.690137,-0.584779,0.450999,0.535701,0.343374,-0.103111,-0.605446,-0.410231,-0.520548,0.749203,0.662281,-0.061949,0,0.620075,2
-0.789875,5,0,0,0.10419,1.442075,-0.684682,1.022467,-1.262498,-1.294582,-1.188133,0.772326,-0.78467,-0.28947,2.147424,-0.474841,0.099892,0.180679,-1.611971,-0.560866,0.870188,-0.278738,-0.402893,-0.386609,-1.340439,-0.473417,1.056756,-0.3055,0.049637,-0.490372,-0.548301,-0.387002,-0.315332,-0.690137,-0.584779,-1.90614,-1.787326,-1.73575,0.155639,-0.358879,0.034519,1.293897,-0.600894,-0.842153,-0.014327,1,-1.592794,1
-1.156776,2,0,0,-0.862763,-0.21109,-0.583146,-0.178878,-0.322433,-1.543605,-1.275037,-1.312957,-1.051048,-0.176288,-0.385538,-0.398268,0.094808,-0.278451,-0.38857,-0.460813,0.384356,-0.34352,-0.39433,-0.370722,-0.699895,-2.201399,-1.41314,-0.338668,-3.248764,-1.621328,0.192469,-0.382621,-0.3027,2.367685,1.416795,-1.212446,-1.181374,0.087581,1.941797,1.069756,1.700181,-0.408646,1.267766,0.252142,-0.467888,1,-1.592794,3
-0.667575,6,0,0,-1.958991,-1.306299,-0.827586,1.661834,1.201904,-1.381347,-1.657276,0.074229,3.302804,-0.128677,-1.804606,-0.77641,-6.908712,-4.914335,-2.144195,-3.743507,-2.51234,-0.399624,-0.445589,-0.414702,-0.749167,-0.613236,-1.030099,-2.330542,1.264012,1.13668,-2.176795,-0.435066,-0.368088,-0.690137,-0.584779,0.200499,0.188643,1.565705,2.142899,1.175922,1.863686,0.352571,-1.917247,-1.783404,-1.242263,1,-1.592794,0
0.555429,2,1,0,-0.378575,-0.09226,-0.528377,0.917442,1.004877,0.203981,1.010083,-0.072877,-0.227091,-0.035189,0.043158,-0.183233,0.100013,-0.176973,0.413302,1.078888,0.686074,0.506885,0.163422,-0.106984,-0.222329,1.093222,0.739698,1.577183,-0.018259,-0.496636,-0.34605,0.321772,0.058458,-0.690137,-0.584779,0.727231,0.563779,1.323709,0.997955,0.632328,1.170006,1.926537,-1.200158,1.360393,1.868166,0,0.196935,2
-0.422974,0,0,0,-0.708708,1.244028,-0.601615,0.10119,1.954789,0.486982,0.358132,0.444082,1.005708,0.256063,0.128289,0.905777,0.127951,0.590556,0.0285,-0.349001,-1.446939,-0.312044,-0.279955,-0.270727,-0.493328,-0.642956,-1.490761,-0.472456,-0.763355,-0.144163,-1.144427,-0.282485,-0.309614,-0.690137,-0.584779,1.482697,1.537295,1.274189,-0.185662,-1.927474,-0.511397,-0.480066,-0.43771,-0.406239,0.145294,0,0.860857,1
-1.156776,7,0,0,-1.147338,-1.090357,0.305157,-0.604508,-1.198684,-1.659492,-1.678092,-2.265836,-2.733139,-0.13281,-0.958682,-0.666509,0.091549,-0.242219,-0.306332,0.302027,1.278322,-0.284302,-0.392089,-0.364023,-0.603244,-1.711731,-1.213685,-0.977052,0.28016,-0.217671,0.700634,-0.379817,-0.284618,0.458951,-0.129696,-1.156296,-1.072732,-1.703416,-1.020408,-1.150589,-1.146049,-0.156112,-0.087002,0.104959,-1.43195,1,-1.592794,2
3.123736,1,0,0,2.109508,2.060476,2.839425,0.921127,0.228297,1.936841,1.791653,1.955219,0.867067,0.0157,-0.500389,-0.282961,0.101445,0.925421,0.187712,1.058401,0.931662,0.220476,0.048386,0.020729,0.283664,1.768028,2.214327,0.381704,0.098197,-0.254346,0.603046,0.412901,-0.006223,-0.690137,-0.584779,0.481292,0.331658,0.265957,-0.266278,0.507467,-0.272697,1.861244,-1.286391,0.275376,0.064227,0,1.495606,2
-0.667575,2,0,0,0.989367,0.572021,-0.192199,-0.562129,-1.466302,0.369052,0.578382,-0.453395,-1.308923,-0.035367,-1.123065,-0.567078,0.094652,0.206721,0.293627,1.411455,2.281637,0.197083,-0.054389,0.092156,2.152236,-0.449679,-0.339176,0.964246,-1.919678,-0.882292,1.455161,-0.134022,-0.173911,0.694531,-0.020667,-0.517971,-1.534142,-0.997738,-0.746326,1.175922,0.549991,1.537391,-0.82886,0.965345,0.200784,0,-0.021459,2
0.800029,6,1,0,1.576303,1.720246,1.584375,-1.076202,0.386697,1.584296,1.418317,-0.56265,-1.732344,-0.044192,-0.701521,-0.563035,0.095638,0.168224,0.110513,2.466327,2.745465,5.507294,1.888505,2.177763,3.899521,2.719693,3.874179,1.555905,0.182715,-0.278808,2.181791,1.4598,5.203632,0.210801,-0.091088,0.560511,0.646513,-0.390732,-1.395885,-1.555644,-1.673069,-0.565651,0.128795,1.651925,0.417884,0,0.107524,2
-0.912175,2,0,0,0.0436,-0.634563,1.735242,0.405212,-0.959563,-0.686176,-0.658494,-0.918088,-1.093868,-0.032783,-0.884074,-0.164164,0.103052,0.257106,-0.08381,0.13315,0.928935,-0.304419,-0.302797,-0.309884,-0.078301,0.021158,0.852321,-0.017593,0.124124,0.04504,0.832426,-0.336003,-0.265006,0.224771,0.083091,-0.983296,-0.932843,-0.565838,0.600739,0.785583,0.696478,-0.37178,0.794071,0.540281,-0.48881,0,0.297191,2
-0.667575,9,0,0,-1.94122,-1.415057,-0.015058,0.792148,-0.379423,-1.67526,-1.49791,-1.7128,-0.190155,-1.252115,1.336399,0.204741,0.086683,-0.529812,-0.804478,-1.244938,-1.355405,-0.36422,-0.402933,-0.413648,-0.80602,-0.422724,-0.462859,-0.352541,-0.491554,-0.956646,-0.628883,-0.37521,-0.325736,-0.690137,-0.584779,-0.285347,-0.414836,0.183699,0.729237,1.537542,0.505088,0.309277,0.947175,-1.206546,-0.018705,1,-1.592794,1
0.310828,4,0,0,1.646486,4.358895,-0.884091,0.631846,0.061111,0.06888,-0.115854,1.874639,1.397008,0.568413,-0.322769,0.191972,0.116451,0.298575,1.263271,-1.047052,0.045667,-0.373472,-0.396154,-0.311399,0.598251,0.534011,2.554555,-0.43211,0.498089,0.466949,0.172487,-0.379817,-0.297895,-0.690137,-0.584779,-1.686322,-1.582158,-0.195643,2.149304,-0.471582,1.731875,-0.129091,-0.390875,-1.400641,-0.555704,0,0.957368,1
-0.422974,0,0,0,-1.107249,-0.666528,-0.143412,0.841897,0.777635,-0.727664,-0.18507,0.990954,-0.926296,-0.341456,-1.050636,-0.293304,0.094538,-0.068701,-3.044909,0.454385,0.362006,-0.267134,-0.258747,-0.556185,-1.088391,0.237421,-0.051943,0.656641,-0.346095,-0.089784,-2.04219,-0.338034,-0.306974,2.169745,3.13566,0.201531,0.248903,0.818002,0.992268,0.28998,1.04826,-0.535515,0.611587,0.144236,1.849837,1,-1.592794,2
-0.789875,6,0,0,-0.609459,-0.506634,0.522051,-0.781393,-0.838868,-1.075606,-1.031167,-0.774144,-0.28138,0.416562,0.244948,0.617871,0.120614,0.544416,0.301056,-0.755814,-0.352911,-0.349913,-0.362732,-0.297233,-0.06314,-0.215243,0.297454,-0.234761,0.680244,0.771066,0.00479,-0.36657,-0.313925,-0.690137,-0.584779,-0.826577,-0.944269,-0.209057,0.918986,1.466599,1.359649,1.830105,-1.204584,-0.428674,-0.251687,0,-0.179776,2
-0.912175,9,0,0,-0.025198,-0.637541,-0.684682,-0.228627,-0.378897,-0.13028,-0.189996,0.157527,0.128405,0.305219,0.262048,0.19044,0.101808,0.462327,0.326025,-0.260573,-0.301195,-0.292456,-0.326331,-0.242125,-0.121888,-0.33251,-0.521611,-0.058423,-0.385987,-0.250027,-0.161942,-0.323378,-0.221237,-0.690137,-0.584779,-0.125584,-0.032089,-0.457402,-0.488575,-0.340746,-0.345259,-0.466104,0.598127,-0.204034,0.029503,0,0.302166,0
0.310828,6,1,0,-0.633424,-0.14911,-0.185916,-1.100155,1.388602,0.404799,0.587781,-0.667217,-0.408508,-0.171389,-0.207877,0.020778,0.109061,-0.103093,-0.394385,0.813833,-0.098329,0.099445,0.075887,-0.478032,-0.660097,0.946936,-0.069742,1.0263,0.093102,0.311406,-0.112535,-0.190922,0.434614,0.945367,2.195849,1.28555,1.354154,1.403843,0.302352,0.175363,0.426866,-0.544857,0.670592,1.119147,1.152026,1,-1.592794,3
