@relation 'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.RemoveType-Tnominal'

@attribute numberOfAnalystOpinions numeric
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute _debtToEquity numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-0.667575,-1.958991,-1.306299,-0.827586,1.661834,1.201904,-1.381347,-1.657276,0.074229,3.302804,-0.128677,-1.804606,-0.77641,-6.908712,-4.914335,-2.144195,-3.743507,-2.51234,-0.399624,-0.445589,-0.414702,-0.749167,-0.613236,-1.030099,-2.330542,1.264012,1.13668,-2.176795,-0.435066,-0.368088,-0.690137,-0.584779,0.200499,0.188643,1.565705,2.142899,1.175922,1.863686,0.352571,-1.917247,-1.783404,-1.242263,-1.592794,0
0.555429,-0.378575,-0.09226,-0.528377,0.917442,1.004877,0.203981,1.010083,-0.072877,-0.227091,-0.035189,0.043158,-0.183233,0.100013,-0.176973,0.413302,1.078888,0.686074,0.506885,0.163422,-0.106984,-0.222329,1.093222,0.739698,1.577183,-0.018259,-0.496636,-0.34605,0.321772,0.058458,-0.690137,-0.584779,0.727231,0.563779,1.323709,0.997955,0.632328,1.170006,1.926537,-1.200158,1.360393,1.868166,0.196935,2
-0.422974,-0.708708,1.244028,-0.601615,0.10119,1.954789,0.486982,0.358132,0.444082,1.005708,0.256063,0.128289,0.905777,0.127951,0.590556,0.0285,-0.349001,-1.446939,-0.312044,-0.279955,-0.270727,-0.493328,-0.642956,-1.490761,-0.472456,-0.763355,-0.144163,-1.144427,-0.282485,-0.309614,-0.690137,-0.584779,1.482697,1.537295,1.274189,-0.185662,-1.927474,-0.511397,-0.480066,-0.43771,-0.406239,0.145294,0.860857,1
-1.156776,-1.147338,-1.090357,0.305157,-0.604508,-1.198684,-1.659492,-1.678092,-2.265836,-2.733139,-0.13281,-0.958682,-0.666509,0.091549,-0.242219,-0.306332,0.302027,1.278322,-0.284302,-0.392089,-0.364023,-0.603244,-1.711731,-1.213685,-0.977052,0.28016,-0.217671,0.700634,-0.379817,-0.284618,0.458951,-0.129696,-1.156296,-1.072732,-1.703416,-1.020408,-1.150589,-1.146049,-0.156112,-0.087002,0.104959,-1.43195,-1.592794,2
3.123736,2.109508,2.060476,2.839425,0.921127,0.228297,1.936841,1.791653,1.955219,0.867067,0.0157,-0.500389,-0.282961,0.101445,0.925421,0.187712,1.058401,0.931662,0.220476,0.048386,0.020729,0.283664,1.768028,2.214327,0.381704,0.098197,-0.254346,0.603046,0.412901,-0.006223,-0.690137,-0.584779,0.481292,0.331658,0.265957,-0.266278,0.507467,-0.272697,1.861244,-1.286391,0.275376,0.064227,1.495606,2
-0.667575,0.989367,0.572021,-0.192199,-0.562129,-1.466302,0.369052,0.578382,-0.453395,-1.308923,-0.035367,-1.123065,-0.567078,0.094652,0.206721,0.293627,1.411455,2.281637,0.197083,-0.054389,0.092156,2.152236,-0.449679,-0.339176,0.964246,-1.919678,-0.882292,1.455161,-0.134022,-0.173911,0.694531,-0.020667,-0.517971,-1.534142,-0.997738,-0.746326,1.175922,0.549991,1.537391,-0.82886,0.965345,0.200784,-0.021459,2
0.800029,1.576303,1.720246,1.584375,-1.076202,0.386697,1.584296,1.418317,-0.56265,-1.732344,-0.044192,-0.701521,-0.563035,0.095638,0.168224,0.110513,2.466327,2.745465,5.507294,1.888505,2.177763,3.899521,2.719693,3.874179,1.555905,0.182715,-0.278808,2.181791,1.4598,5.203632,0.210801,-0.091088,0.560511,0.646513,-0.390732,-1.395885,-1.555644,-1.673069,-0.565651,0.128795,1.651925,0.417884,0.107524,2
-0.912175,0.0436,-0.634563,1.735242,0.405212,-0.959563,-0.686176,-0.658494,-0.918088,-1.093868,-0.032783,-0.884074,-0.164164,0.103052,0.257106,-0.08381,0.13315,0.928935,-0.304419,-0.302797,-0.309884,-0.078301,0.021158,0.852321,-0.017593,0.124124,0.04504,0.832426,-0.336003,-0.265006,0.224771,0.083091,-0.983296,-0.932843,-0.565838,0.600739,0.785583,0.696478,-0.37178,0.794071,0.540281,-0.48881,0.297191,2
-0.667575,-1.94122,-1.415057,-0.015058,0.792148,-0.379423,-1.67526,-1.49791,-1.7128,-0.190155,-1.252115,1.336399,0.204741,0.086683,-0.529812,-0.804478,-1.244938,-1.355405,-0.36422,-0.402933,-0.413648,-0.80602,-0.422724,-0.462859,-0.352541,-0.491554,-0.956646,-0.628883,-0.37521,-0.325736,-0.690137,-0.584779,-0.285347,-0.414836,0.183699,0.729237,1.537542,0.505088,0.309277,0.947175,-1.206546,-0.018705,-1.592794,1
0.310828,1.646486,4.358895,-0.884091,0.631846,0.061111,0.06888,-0.115854,1.874639,1.397008,0.568413,-0.322769,0.191972,0.116451,0.298575,1.263271,-1.047052,0.045667,-0.373472,-0.396154,-0.311399,0.598251,0.534011,2.554555,-0.43211,0.498089,0.466949,0.172487,-0.379817,-0.297895,-0.690137,-0.584779,-1.686322,-1.582158,-0.195643,2.149304,-0.471582,1.731875,-0.129091,-0.390875,-1.400641,-0.555704,0.957368,1
