@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,49,51-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,49,51'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute 52WeekChange numeric
@attribute fiftyDayAverageChangePercent numeric
@attribute twoHundredDayAverageChangePercent numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute earningsQuarterlyGrowth numeric
@attribute revenueGrowth numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
4,0,0,12.11,225.48,3.27,0.083184,0.021303,0.085014,-0.033,1637796,1947280768,2173095936,1.788246,3.897,0.34137,0.5622,0.50743,0.41374,0.079,0.17825,0.265,-0.036,557643008,3.464,313504992,282964000,190362000,1.17,82660000,0.514,308412000,1.473,2.326,6.772,288719008,130493248,0.065657,0.6923,160799407,133802795,3883665,0.0242,1.93,0.0341,0.16789,0.65099,924,0,45542232.722977,0,10.350427,0
0,0,0,112.19,141.79,1.128676,-0.151811,-0.071482,-0.040748,1.036,859968,14384858112,17099023360,4.708327,2.275,0.0916,0.4133,0.15008,0.15244,0.07958,0.24163,-0,0.074,7517598208,58.976,3107021056,1128226944,685984000,5.35,297075008,2.317,3009843968,1.322,2.264,23.828,757641024,392990624,0.018095,0.3813,128218717,126421091,1300077,0.0101,1.56,0.0131,0.01288,0.84771,17800,0,126315425.885513,0,20.970093,1
6,0,0,49.78,72.98,2.72,1.159653,-0.027693,0.098312,2.253,31617189,11251254272,11151028224,19.975922,5.538,0.09615,0.762,0.07954,0.04905,0.06943,0.41875,2.197,0.726,2013538048,9.131,1534311936,160154000,193603008,0.79,1144615040,5.064,1044387968,4.229,4.979,2.492,261624992,93823128,0,0,217641958,204204171,71013939,0.3142,2.45,0.3893,0.06343,0.82262,1637,0,419096295.345104,0,63.012658,4
5,0,0,131.11,152.29,4.666667,-0.019225,-0.053444,0.009628,0.736,470235,10933850112,11291849728,2.42088,1.405,0.09505,0.1733,0.14618,0.13305,0.02247,0.17169,-0.167,0.03,8038000128,95.862,1392999936,1175000064,764000000,9.11,1351000064,16.2,1708999936,0.806,1.964,54.158,1666000000,87125000,0.02437,0.3414,83394479,65938347,1355743,0.0163,2.65,0.0197,0.21128,0.67198,8700,0,31555816.979948,0,14.391877,3
9,0,0,97.51,156.34,29.4,-0.336757,-0.088799,-0.117464,0.438,467423,4487605248,6884605440,2.95682,0.923,0.05349,0.11971,0.09169,0.07858,0.06483,0.25398,0.568,-0.027,7459999744,155.417,893000000,684000000,399000000,8.23,48000000,1.043,2444999936,0.69,0.832,32.978,480000000,221500000,0.015277,0.1798,46022001,45641399,1666833,0.0362,2.52,0.0406,0.00597,0.87437,24000,0,74140334.040876,0,11.848117,4
2,0,0,31.96,47.78,5.89,-0.277903,-0.066801,-0.029764,1.305,1026871,2796708096,3273464064,0.850068,0.81,0.09049,0.23357,0.12716,0.09951,0.06426,0.11375,-0.485,-0.219,4041884928,44.031,944083008,513959008,365756000,3.93,622641984,7.115,1099265024,2.043,11.954,37.597,422752000,370423616,0,0,87506511,85111458,4539140,0.0519,4.49,0.082,0.02713,1.0234,1750,0,29238104.7424,0,8.132316,2
2,0,0,39.62,185,0.424326,-0.209024,-0.209295,-0.241122,1.326,1378435,882285632,2022251648,1.910871,0.58,0.01331,0.32953,0.05664,0.02323,0.02171,0.10285,-0.628,-0.029,3483684096,156.556,1147986944,197326000,46379000,2.06,39643000,1.78,1179608960,0.14,0.5,20.734,218899008,24729376,0.024975,0.4854,22268694,19259748,5024417,0.2256,2.85,0.3744,0.008,1.17437,76730,0,56892493.488955,0,19.23301,4
4,0,0,35.92,47.559525,2.044271,0.413061,-0.044696,0.101462,1.037,5224175,14763711488,15459311616,4.540513,1.627,0.09864,0.21085,0.17036,0.15899,0.07899,0.30015,0.445,0.09,9504100352,22.506,2003900032,1619100032,937500032,2.1,950000000,2.311,1600600064,0.72,1.105,7.911,1714499968,1210550016,0.005602,0.0952,411016473,407753002,16209270,0.0394,1.88,0.0512,0.00854,0.9993,21693,0,202325883.453419,0,17.104762,1
8,1,0,23.59,87.09,13.1,-0.269433,-0.060444,-0.124414,1.063,4418348,17020443648,21619443712,1.787934,3.073,0.03965,0.17254,0.14966,0.08493,0.02073,0.02851,-0.497,-0.028,7036000256,9.69,1214000000,1053000000,279000000,0.38,592000000,0.821,5191000064,0.573,1.038,13.194,918000000,496124992,0.034672,2.1579,721511000,718220910,15368568,0.0213,3.31,0.0254,0.00334,0.89296,9440,0,393436415.340306,0,62.078947,1
2,1,0,153.69,199.85,1.051366,-0.174907,-0.078656,0.098927,1.397,3860543,45818605568,51375104000,1.910165,1.486,0.11463,0.2358,0.15115,0.14564,0.0896,0.16098,-0.243,-0.074,34575200256,109.467,8152900096,5226200064,3963300096,12.43,2345999872,7.869,7362400256,0.559,6.526,80.459,2910700032,1818237440,0.009809,0.1206,298123529,264146390,10748829,0.0361,3.14,0.0472,0.11409,0.9191,14766,0,91504993.300936,0,12.364441,3
