@relation 'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
0.677729,5,1.7132,0.115867,1.416932,0.509334,-0.22824,0.355411,0.583642,-4.180819,0.168516,0.81235,1.049213,-1.679079,-0.536821,0.436045,3
-1.279077,7,-2.325226,-1.707569,-1.250534,-0.84489,0.194071,-0.375536,-1.112131,0.093953,-0.690137,-0.584779,-1.565623,-0.41014,-0.118845,-1.592794,3
-0.545274,2,-1.216413,-0.497597,-1.393511,0.154415,1.439432,-0.258424,0.039956,-2.125518,0.482675,0.19813,-1.466518,2.170046,-0.501764,0.260264,4
-0.545274,1,0.150594,-0.338657,-0.107361,0.429627,0.234602,0.106414,0.932307,-0.617658,3.100988,-0.050347,-0.087232,-1.25008,3.675087,-0.214664,3
-1.034476,10,0.006525,-0.440846,1.178001,-0.360062,-0.51697,-0.284789,1.009212,-0.600815,1.802806,1.967104,0.083393,-0.262502,-0.442498,0.814498,0
-0.545274,7,-0.800185,0.931983,-0.803848,-0.364546,0.460861,-0.359626,-1.155466,-0.27067,-0.690137,-0.584779,-1.046262,1.583975,-0.511508,0.135926,1
-0.545274,2,-0.009149,-1.151949,-0.950724,0.663989,0.939042,-0.150631,0.325775,-1.159316,-0.690137,-0.584779,-0.065151,-0.136867,-0.285292,-0.300446,1
-0.422974,9,-2.056482,-0.993175,-0.377527,-1.770891,-1.175095,-0.381876,-1.260826,-1.218475,-0.690137,-0.584779,-1.230551,-0.304656,0.462766,-1.592794,0
-0.422974,7,-0.465823,-0.327736,-0.241313,-0.297762,0.601538,-0.346961,-0.276755,0.079392,-0.354206,-0.454795,-1.100819,-0.41014,-0.40282,-0.15254,1
0.677729,7,1.523262,0.381205,0.165889,1.256685,0.288177,0.596579,1.110545,-0.702579,-0.05468,0.208625,1.562752,-0.229008,-0.558418,0.636784,2
0.677729,7,0.882475,1.160199,0.457527,0.403978,-0.085764,-0.018799,0.45438,0.564253,-0.496604,-0.36532,0.729935,-1.386836,-0.568162,0.496855,2
0.92233,9,-0.110675,-0.858507,0.088419,-0.347838,-0.403158,-0.248577,0.233834,-0.55507,-0.690137,-0.584779,-0.20608,1.373147,0.518215,-1.592794,2
1.16693,4,0.249452,-1.280833,-0.436261,0.700585,0.264786,0.143002,0.844773,-1.047733,0.856276,0.254853,0.757037,-0.596284,-0.531296,0.147371,1
0.066227,9,0.273218,1.543177,1.626198,-0.982293,-1.347071,-0.35391,-1.824027,0.748642,-0.690137,-0.584779,0.206786,0.928003,-0.437777,1.934071,0
