@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of rules: 186\n','Number of rules: 194\n','Number of rules: 195\n','Number of rules: 188\n','Number of rules: 197\n','Number of rules: 199\n','Number of rules: 182\n','Number of rules: 192\n','Number of rules: 189\n','Number of rules: 196\n','Number of rules: 190\n','Number of rules: 198\n','Number of rules: 178\n','Number of rules: 181\n','Number of rules: 177\n','Number of rules: 193\n','Number of rules: 183\n','Number of rules: 185\n','Number of rules: 191\n','Number of rules: 203\n','Number of rules: 187\n','Number of rules: 180\n','Number of rules: 174\n','Number of rules: 175\n','Number of rules: 184\n','Number of rules: 202\n','Number of rules: 201\n','Number of rules: 204\n','Number of rules: 200\n','Number of leaves: 293\nSize of the tree: 585\n','Number of leaves: 288\nSize of the tree: 575\n','Number of leaves: 282\nSize of the tree: 563\n','Number of leaves: 285\nSize of the tree: 569\n','Number of leaves: 287\nSize of the tree: 573\n','Number of leaves: 296\nSize of the tree: 591\n','Number of leaves: 300\nSize of the tree: 599\n','Number of leaves: 298\nSize of the tree: 595\n','Number of leaves: 290\nSize of the tree: 579\n','Number of leaves: 294\nSize of the tree: 587\n','Number of leaves: 291\nSize of the tree: 581\n','Number of leaves: 274\nSize of the tree: 547\n','Number of leaves: 284\nSize of the tree: 567\n','Number of leaves: 286\nSize of the tree: 571\n','Number of leaves: 304\nSize of the tree: 607\n','Number of leaves: 278\nSize of the tree: 555\n','Number of leaves: 301\nSize of the tree: 601\n','Number of leaves: 313\nSize of the tree: 625\n','Number of leaves: 289\nSize of the tree: 577\n','Number of leaves: 281\nSize of the tree: 561\n','Number of leaves: 302\nSize of the tree: 603\n','Number of leaves: 267\nSize of the tree: 533\n','Number of leaves: 275\nSize of the tree: 549\n','Number of leaves: 297\nSize of the tree: 593\n','Number of leaves: 283\nSize of the tree: 565\n','Number of leaves: 280\nSize of the tree: 559\n','Number of leaves: 306\nSize of the tree: 611\n','Number of leaves: 277\nSize of the tree: 553\n','Number of leaves: 270\nSize of the tree: 539\n','Number of leaves: 279\nSize of the tree: 557\n','Number of leaves: 295\nSize of the tree: 589\n','Number of leaves: 292\nSize of the tree: 583\n','Number of leaves: 303\nSize of the tree: 605\n'}
@attribute measureNumRules numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureOutOfBagError numeric

@data

full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,10,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,41,109,0,27.333333,72.666667,0,0.047758,0.290775,0.538143,94.510801,137.146289,330.747333,1134.45096,-803.703627,2.204982,7.563006,-5.358024,45.501214,0.303341,13.757092,0.190476,4,0.155039,20,0.844961,109,0.809524,17,0.166667,0.190476,0.177778,0.033541,0.517719,0.145079,0.273333,0.229673,0.770327,0.726667,0.277081,0.273333,0.271354,0.048267,0.52183,0.240636,0.258533,0.273333,0,0.009,0,0,0,0,576223,573010,66968,27.333333,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,1,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1351,151,51,100,0,33.774834,66.225166,0,0.14848,0.265104,0.513737,86.268626,131.100189,331.790294,1040.73151,-708.941216,2.197287,6.892262,-4.694975,73.326222,0.485604,22.100171,0.25,5,0.145038,19,0.854962,112,0.75,15,0.208333,0.25,0.227273,0.097314,0.552481,0.151421,0.337748,0.191162,0.808838,0.662252,0.342775,0.337748,0.338675,0.143691,0.573293,0.272276,0.328311,0.337748,0,0.01,0,0,0,0,575802,572589,67389,33.774834,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,2,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1351,151,41,110,0,27.152318,72.847682,0,0.036543,0.291496,0.538812,94.734236,137.298701,332.960952,1144.740304,-811.779352,2.205039,7.581062,-5.376022,42.353046,0.280484,12.720124,0.333333,7,0.130769,17,0.869231,113,0.666667,14,0.291667,0.333333,0.311111,0.191706,0.601282,0.189937,0.271523,0.236385,0.763615,0.728477,0.242739,0.271523,0.252658,0.028949,0.517569,0.240578,0.216719,0.271523,0,0,0,0,0,0,575802,572589,67389,27.152318,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,3,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,51,99,0,34,66,0,0.138331,0.264206,0.512864,85.846731,130.655215,331.010141,1030.431498,-699.421357,2.206734,6.869543,-4.662809,68.477375,0.456516,20.687395,0.190476,4,0.116279,15,0.883721,114,0.809524,17,0.210526,0.190476,0.2,0.077407,0.537099,0.153434,0.34,0.20038,0.79962,0.66,0.335262,0.34,0.33643,0.139616,0.56981,0.266813,0.298761,0.34,0,0.012,0,0,0,0,576223,573010,66968,34,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,4,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,35,115,0,23.333333,76.666667,0,0.000637,0.306716,0.552756,99.659034,140.817886,331.010141,1196.862636,-865.852495,2.206734,7.979084,-5.77235,29.556022,0.19704,8.929038,0.190476,4,0.139535,18,0.860465,111,0.809524,17,0.181818,0.190476,0.186047,0.049964,0.525471,0.147965,0.233333,0.235086,0.764914,0.766667,0.230847,0.233333,0.231794,-0.001469,0.499124,0.230725,0.207034,0.233333,0,0.01,0,0,0,0,576223,573010,66968,23.333333,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,5,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,42,108,0,28,72,0,0.03926,0.288118,0.535669,93.769427,136.715949,329.576675,1124.049014,-794.472339,2.197178,7.49366,-5.296482,44.473106,0.296487,13.494009,0.15,3,0.076923,10,0.923077,120,0.85,17,0.230769,0.15,0.181818,0.088295,0.536538,0.147949,0.28,0.243936,0.756064,0.72,0.26666,0.28,0.267843,0.038223,0.518032,0.240588,0.235074,0.28,0,0.001,0,0,0,0,576223,573010,66968,28,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,6,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,46,104,0,30.666667,69.333333,0,0.109335,0.277491,0.525655,90.310697,134.160305,329.576675,1082.441229,-752.864554,2.197178,7.216275,-5.019097,59.304522,0.395363,17.99415,0.15,3,0.161538,21,0.838462,109,0.85,17,0.125,0.15,0.136364,-0.010699,0.494231,0.132083,0.306667,0.197769,0.802231,0.693333,0.314309,0.306667,0.30869,0.107115,0.554449,0.262186,0.289812,0.306667,0,0.015,0,0,0,0,576223,573010,66968,30.666667,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,7,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,43,107,0,28.666667,71.333333,0,0.070158,0.285461,0.533183,92.904744,136.081538,329.576675,1113.647067,-784.070392,2.197178,7.424314,-5.227136,50.498936,0.33666,15.322363,0.3,6,0.107692,14,0.892308,116,0.7,14,0.3,0.3,0.3,0.192308,0.596154,0.183333,0.286667,0.220077,0.779923,0.713333,0.286303,0.286667,0.285168,0.066608,0.533295,0.247539,0.265831,0.286667,0,0.01,0,0,0,0,576223,573010,66968,28.666667,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,8,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,40,110,0,26.666667,73.333333,0,0.03021,0.293432,0.540606,95.498791,137.976021,329.576675,1144.852906,-815.276231,2.197178,7.632353,-5.435175,38.443024,0.256287,11.664364,0.2,4,0.123077,16,0.876923,114,0.8,16,0.2,0.2,0.2,0.076923,0.538462,0.146667,0.266667,0.23541,0.76459,0.733333,0.251074,0.266667,0.256289,0.029586,0.515628,0.24009,0.210266,0.266667,0,0.003,0,0,0,0,576223,573010,66968,26.666667,20,?,?,?,?,?,?,?
full_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,9,weka.classifiers.lazy.IBk,'-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20251025.0834,1352,150,41,109,0,27.333333,72.666667,0,0.063198,0.290775,0.538143,94.634109,137.34743,329.576675,1134.45096,-804.874285,2.197178,7.563006,-5.365829,44.465519,0.296437,13.491707,0.1,2,0.130769,17,0.869231,113,0.9,18,0.105263,0.1,0.102564,-0.031448,0.484615,0.130526,0.273333,0.207371,0.792629,0.726667,0.283545,0.273333,0.276491,0.066484,0.532981,0.248735,0.245735,0.273333,0,0.013,0,0,0,0,576223,573010,66968,27.333333,20,?,?,?,?,?,?,?
