@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,49,51'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute 52WeekChange numeric
@attribute fiftyDayAverageChangePercent numeric
@attribute twoHundredDayAverageChangePercent numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute earningsQuarterlyGrowth numeric
@attribute revenueGrowth numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
4,0,0,-0.684918,-0.006208,-0.383174,0.08869,0.377319,0.230148,-1.880769,-0.220626,-0.198296,-0.215519,-0.340483,-0.095965,1.850287,0.517053,1.353849,1.664253,0.413593,-0.083721,-0.102069,-0.813231,-0.299963,-0.50341,-0.268581,-0.257371,-0.20336,-0.467753,-0.163417,-0.271628,-0.436843,-0.024757,0.001768,-0.498311,-0.238668,-0.209147,2.298726,-0.024507,-0.195935,-0.205924,-0.431529,-0.549692,-0.851993,-0.488728,1.026266,-1.620104,-0.269447,0,-0.281677,0,-0.147669,0
0,0,0,-0.084509,-0.095664,-0.620421,-0.495147,-0.740083,-0.398194,-0.111287,-0.343681,-0.149704,-0.156618,-0.105922,-0.374895,-0.260974,-0.157448,-0.561572,-0.253593,0.426605,0.109254,-0.127119,-0.056706,-0.166761,-0.059226,-0.141047,-0.186438,-0.143957,0.040742,-0.149316,-0.212593,-0.269291,-0.069669,-0.014711,-0.202062,-0.194922,-0.164191,0.059162,-0.066734,-0.231304,-0.214012,-0.656809,-0.909948,-1.002042,-0.816159,-0.377233,-0.413204,-0.110891,0,-0.219282,0,-0.104082,1
6,0,0,-0.458924,-0.169216,-0.444111,2.763141,-0.212729,0.296591,1.903176,4.522189,-0.161947,-0.18009,1.120477,0.186233,-0.222514,1.422124,-0.939671,-1.012437,0.198885,0.648536,0.080561,4.427426,-0.272099,-0.458065,-0.212847,-0.267677,-0.202971,-0.513979,-0.09358,-0.122649,-0.391195,0.794954,0.70692,-0.572651,-0.241195,-0.215427,-0.792872,-0.118506,-0.134228,-0.128783,5.421987,6.859824,-0.641112,5.049531,0.080459,-0.567134,-0.262748,0,0.006884,0,0.068479,4
5,0,0,0.028998,-0.084441,-0.228431,-0.165742,-0.522844,-0.146498,-0.607867,-0.405338,-0.163187,-0.179534,-0.289665,-0.524507,-0.231812,-1.244621,-0.582476,-0.395908,-0.854686,-0.103695,-0.142906,-0.359316,-0.156802,0.23592,-0.219298,-0.182513,-0.134606,0.498144,-0.080008,0.241974,-0.349973,-0.223142,-0.094449,0.324745,-0.110182,-0.216574,0.35464,-0.072151,-0.279964,-0.280284,-0.651955,-0.751538,-0.560004,-0.713252,1.419129,-1.491328,-0.196389,0,-0.292481,0,-0.131082,3
9,0,0,-0.172578,-0.080112,2.511883,-0.95464,-0.948623,-0.78149,-1.101138,-0.405782,-0.188371,-0.196926,-0.246615,-0.607395,-0.583111,-1.487377,-0.874546,-0.795698,0.095682,0.146856,-0.073427,-0.751334,-0.167864,0.712455,-0.242125,-0.223717,-0.178353,0.391093,-0.165696,-0.254308,-0.304324,-0.257643,-0.395328,-0.043134,-0.220823,-0.193561,-0.073535,-0.094093,-0.320534,-0.302524,-0.624829,-0.243091,-0.612724,-0.38738,-0.439798,-0.249642,-0.052639,0,-0.259586,0,-0.141522,4
2,0,0,-0.565832,-0.196152,-0.092893,-0.80842,-0.68371,-0.343316,0.333981,-0.317276,-0.194977,-0.211177,-0.415844,-0.626827,-0.270357,-0.971604,-0.684425,-0.642079,0.082893,-0.280106,-0.172966,-2.071814,-0.23328,-0.17881,-0.239793,-0.237986,-0.182338,-0.132,-0.127906,-0.055494,-0.387791,0.144777,2.560834,0.037094,-0.226164,-0.168056,-0.792872,-0.118506,-0.2755,-0.259276,-0.374374,0.158044,0.186189,0.258126,-0.24821,0.664675,-0.261686,0,-0.294272,0,-0.156774,2
2,0,0,-0.519877,-0.049477,-0.698459,-0.637291,-2.399744,-1.399322,0.368741,-0.261658,-0.202456,-0.216114,-0.330632,-0.66638,-0.922745,-0.536916,-1.062417,-1.201947,-0.871737,-0.313294,-0.186484,-0.765089,-0.243963,0.721568,-0.230484,-0.264558,-0.220617,-0.359484,-0.166246,-0.230176,-0.382808,-0.421229,-0.483572,-0.255802,-0.245181,-0.22726,0.383138,-0.052599,-0.34632,-0.331431,-0.33206,4.596089,-0.478896,4.817211,-0.421418,1.590893,0.442778,0,-0.272909,0,-0.111211,4
4,0,0,-0.542075,-0.196388,-0.518978,0.908257,-0.417501,0.31233,-0.109631,0.346748,-0.148224,-0.163088,-0.119401,-0.48633,-0.201466,-1.074523,-0.45287,-0.205518,0.413369,0.287431,-0.085054,0.053334,-0.128743,-0.351044,-0.191408,-0.145246,-0.113811,-0.354619,-0.106379,-0.21279,-0.356697,-0.24872,-0.322766,-0.478527,-0.105657,-0.024174,-0.529077,-0.10558,0.075694,0.09425,0.643219,-0.161331,-0.87227,-0.222106,-0.416529,0.516818,-0.074314,0,-0.160566,0,-0.119947,1
8,1,0,-0.616046,-0.154133,0.705935,-0.787376,-0.607147,-0.816213,-0.066594,0.219264,-0.139408,-0.138779,-0.340508,-0.237666,-0.700098,-1.248063,-0.563823,-0.749091,-0.893724,-0.539639,-0.1741,-0.758211,-0.175978,-0.453592,-0.22747,-0.192751,-0.192736,-0.563856,-0.129921,-0.261576,-0.134008,-0.292442,-0.340574,-0.386766,-0.179962,-0.146528,0.839757,0.174488,0.412759,0.434437,0.569913,-0.623787,-0.292348,-0.624378,-0.463611,-0.13559,-0.189436,0,-0.012938,0,0.064647,1
2,1,0,0.164462,-0.033604,-0.628986,-0.55253,-0.826469,0.299662,0.486265,0.131018,-0.026899,-0.021356,-0.330689,-0.510577,-0.066305,-0.961503,-0.555837,-0.303502,0.651409,-0.136304,-0.15009,-1.074576,0.351074,0.344782,0.089316,0.157454,0.248849,0.90202,-0.014575,-0.030806,0.00067,-0.296606,1.118103,0.781573,0.005936,0.0799,-0.330989,-0.102131,-0.046859,-0.063103,0.167088,-0.245646,-0.36129,-0.284474,0.539147,0.024782,-0.139396,0,-0.246172,0,-0.139403,3
7,0,0,-0.449985,-0.150884,-0.655451,-0.694437,-1.305064,-1.590743,-0.341369,-0.374214,-0.195092,-0.205761,-0.36853,-0.436116,-0.654368,-1.370687,-0.555676,-0.660502,-0.157166,-0.387799,-0.021341,3.746553,-0.264307,-0.203839,-0.266818,-0.250407,-0.213102,-0.434907,-0.166234,-0.263868,-0.334053,-0.109227,-0.190135,0.002877,-0.254022,-0.22785,-0.792872,-0.118506,-0.311901,-0.302552,-0.445709,0.592395,0.275408,0.103766,0.42108,0.25853,-0.184175,0,-0.274237,0,-0.044017,0
6,0,0,-0.010357,-0.110554,-0.741065,0.629308,0.222765,0.401185,-0.505241,-0.364344,-0.156892,-0.161192,-0.041401,-0.282549,-0.255902,-0.110337,-0.152974,-0.067827,0.700767,0.126213,-0.10396,0.259659,-0.202138,-0.078638,-0.173234,-0.17345,-0.163563,0.013979,-0.162336,-0.256239,-0.289395,-0.218085,-0.334461,-0.223426,-0.16248,-0.186749,-0.532551,-0.100502,-0.261151,-0.243814,-0.618254,-0.725987,-0.438342,-0.71637,-0.366006,0.293009,-0.008688,0,-0.225051,0,-0.090502,0
0,0,0,-0.673999,-0.208922,-0.690074,2.08707,4.209013,5.018413,0.345568,3.488516,-0.169442,-0.18617,-0.162958,0.792761,-0.235785,0.010702,0.704691,1.03143,-0.249825,-0.484134,-0.025879,1.071204,-0.290346,-0.517653,-0.261095,-0.246749,-0.214225,-0.590618,-0.14935,-0.273953,-0.42037,0.091834,0.09267,-0.555421,-0.235748,-0.226792,-0.715629,-0.088798,0.356823,0.338849,2.259516,0.158044,-1.225089,-0.11608,0.048497,-1.483843,-0.260935,0,-0.189591,0,0.167191,3
7,0,0,-0.513458,-0.202266,0.823377,0.038437,2.608589,0.907389,0.386949,-0.42618,-0.199439,-0.216771,-0.084359,-0.208775,-0.472886,-0.13507,-0.530215,-0.46769,0.08581,-0.259281,-0.129766,0.046457,-0.299676,-0.418353,-0.271961,-0.273624,-0.22161,-0.496948,-0.159649,-0.175758,-0.43482,0.232815,0.338264,-0.473925,-0.262013,-0.229405,-0.373577,-0.065213,-0.326351,-0.323949,-0.607264,0.004744,0.794498,0.209791,2.141115,-0.874503,-0.256669,0,-0.284638,0,-0.010572,2
7,0,0,-0.705855,-0.228828,-0.368217,0.479009,0.064313,0.099107,-0.073216,1.189351,-0.178286,-0.165159,-0.327825,-0.258474,0.004952,1.652333,1.46641,0.577768,-0.202935,-0.104547,-0.05263,-0.097971,-0.213819,-0.484686,-0.095172,-0.05679,-0.149465,-0.523711,-0.16274,-0.284758,0.035235,-0.386727,-0.494735,-0.53899,-0.080103,-0.082845,0.421575,-0.076428,0.460335,0.215481,1.319953,-0.421942,-0.673555,0.069464,-0.344548,0.677435,-0.157868,0,1.064128,0,-0.140321,2
