@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
5,9,0,0,44.85,208.48,36.28,0.554,788032,2792246016,8188496384,0.642265,0.842,0.03252,0.35281,0.14184,0.06662,0.03633,0.07427,9720869888,152.907,3429650944,1378796032,301764992,4.72,350259008,5.626,5746508800,1.196,1.562,69.831,747148032,792606656,0.029663,0.282,62257439,35072728,8916866,0.1432,8.56,0.1728,0.15929,0.99068,450000,0,82291658.432501,0,9.502119,2
11,4,0,0,8.25,19.65,6.83,1.214,4623028,2100575232,5488232448,0.468059,1.582,0.00666,0.57507,0.49102,0.30967,0.02543,-0.00176,3468318976,18.222,1994529024,1703021952,23090000,-0.34,3054000,0.012,3379760896,0.704,0.885,17.626,1588470016,-676824128,0.057075,2.2255,254615178,185599188,21470456,0.0843,3.66,0.107,0.04251,0.95314,987,0,191748604.107568,1,0,0
15,5,1,0,74.05,78.48,0.039018,0.417,1953846,28086630400,28168810496,3.022572,1.972,0.12324,0.4354,0.17499,0.16591,0.03733,0.2058,14286153728,35.933,6220191744,2499901952,1760594944,4.4,3019086080,7.96,3090994944,0.236,0.399,24.499,3498426880,3641584384,0.00444,0.075,379292773,297979988,8883955,0.0234,4.79,0.0298,0.24814,0.683,8606,0,126168208.661578,0,16.829545,3
35,2,1,0,67.37,179.1,0.103516,1.298,13392412,99586424832,102072426496,7.388682,2.198,0.06234,0.41938,0.09037,0.0791,0.05685,0.21122,46440001536,31.386,19476000768,4196999936,2895000064,1.95,8575000064,5.801,11061000192,1.241,2.19,9.118,3526000128,3629374976,0.023938,0.8205,1189313611,1171711092,32100882,0.0217,2.23,0.0343,0.01408,0.83668,77800,0,1213094998.025883,0,34.548718,2
14,2,0,0,311.67,417.98,1.53,1.275,309978,7990113280,22109511680,1.146486,0.595,0.02398,0.15448,0.05278,0.04439,0.04415,0.13525,37155799040,1410.087,5739899904,1960999936,890899968,33.69,205000000,7.996,14299899904,0.221,1.219,271.848,612499968,945037504,0.007064,0.0635,25636451,22784396,1794251,0.07,6.39,0.0794,0.01239,1.037,30000,0,52602556.9583,0,9.251113,1
6,9,0,0,45.16,70.56,2.694444,0.661,918945,1937705984,3289522944,4.056409,3.499,0.05163,0.85301,0.33785,0.18517,0.05394,0.10746,940126016,21.802,801934016,317624992,48535000,1.09,99008000,2.307,1450824960,0.372,0.436,11.133,192040000,284623488,0,0,42907573,42372086,5192675,0.121,4.91,0.1814,0.01859,1.19804,2815,0,130317520.883859,0,41.431193,0
9,2,0,0,26.74,75.87,0.226563,1.277,1963687,3250322944,9085021184,0.979918,2.03,0.05427,0.24894,0.09129,0.09778,0.0124,0.06945,4474610176,35.674,1113901952,408480992,242820000,2.05,1067345984,8.781,6911035904,1.072,1.365,27.288,995683008,104559504,0.026306,0.3439,121552837,112487426,11510347,0.0947,6.5,0.1223,0.00944,0.92029,5900,0,253262822.632659,0,13.043902,2
19,4,1,0,157.77,184.79,1.028336,1.026,2712226,49011527680,57990524928,2.035558,0.493,0.0065,0.05076,0.04298,0.03603,0.02198,0.02757,117548998656,373.171,5967000064,5052000256,760000000,2.48,4536999936,14.605,10647000064,1.004,1.622,77.507,4252999936,2656250112,0.028135,1.7742,310651744,309151296,11120191,0.0358,3.48,0.0405,0.00552,0.85904,9898,0,137368238.533294,0,63.616935,2
47,9,0,0,240.74,429,107.13,1.207,5442704,81562714112,80675274752,34.371788,19.601,-0.33525,0.66788,-0.31039,-0.29719,-0.1166,-0.42396,4115907072,12.369,2748928000,-1277532032,-1379862016,-4.14,3586707968,10.587,2692328960,1.375,1.484,7.004,837699968,1182815872,0,0,338800000,328154904,10748397,0.0317,2.14,0.0326,0.03211,0.7136,8769,0,384398766.419189,1,0,1
15,2,0,0,81.84,169.22,1.025,1.888,1061395,3938123008,7979322880,0.809175,0.909,0.05338,0.58222,0.10919,0.0766,0.03849,0.09316,8777499648,167.35,5110400000,958400000,468500000,8.76,248800000,5.17,4289999872,0.485,1.369,101.14,656899968,452624992,0.000918,0.0171,48119782,47711726,4422924,0.0919,3.78,0.093,0.00973,1.13352,16000,0,42416451.176587,0,9.342466,2
25,6,0,0,53.29,151.75,3.57,0.33,2173375,10232458240,9404198912,1.69762,3.07,0.21453,0.81802,0.31177,0.33545,0.07504,0.11619,3063608064,16.04,2506098944,955153024,657241024,3.39,1432125056,7.458,603865984,3.344,5.561,31.391,766772992,503091136,0,0,192014601,178057060,7155141,0.0373,3.47,0.0478,0.00776,0.99035,3040,0,19236914.529642,0,15.719764,1
20,7,1,0,122.54,214.7,0.689655,1.625,2001134,13546420224,18773911552,3.24197,1.177,0.04744,0.31577,0.11285,0.07352,0.06918,0.17833,15944359936,140.011,5034787840,1799345024,756361984,6.6,87020000,0.787,5314510848,1.007,1.792,37.798,1576788992,969905152,0,0,110546931,107498047,6856227,0.062,3.5,0.0839,0.02643,1.01622,29000,0,140602964.38965,0,18.566667,2
13,5,1,0,107.71,115.5,0.088384,0.849,2386473,57606701056,63227699200,2.117816,3.974,0.15317,0.41389,0.21659,0.2101,0.01733,0.09154,15909999616,29.035,6584999936,3446000128,2436999936,4.44,9354000384,17.49,14974999552,1.111,1.219,50.859,2591000064,4043249920,0.020238,0.4865,534831490,530189153,7519197,0.0141,2.93,0.0142,0.10541,0.59597,12694,0,294441486.305275,0,24.259009,4
18,9,1,0,22.96,26.44,6.756532,1.458,23020732,30294573056,50179571712,1.24088,1.517,0.03773,0.29878,0.14379,0.05495,0.02041,0.05356,33074999296,25.081,9882000384,4755999744,1136000000,0.85,3904999936,2.96,23725000704,0.512,0.951,18.503,2484000000,-252500000,0.023111,0.6118,1319450062,1313459759,47846926,0.0363,1.85,0.0413,0.00384,0.8776,61000,0,1282224542.182349,0,27.011765,2
11,9,0,0,17.82,38.2,4.09,1.295,8863321,4241886720,4085264640,6.283498,3.534,-0.03162,0.60888,0.02328,-0.01655,-0.01135,-0.08211,1155828992,5.605,703756032,26903000,-36553000,-0.15,365313984,1.535,208692000,3.18,3.251,2.836,154932992,140358368,0,0,213945711,195395776,21468126,0.0902,3.27,0.1034,0.0825,0.78717,2191,0,73586741.889986,1,0,1
8,7,0,0,75.54,96.29,2.21,0.819,706351,4533962240,4683698688,3.024867,5.136,-0.04156,0.27904,0.07852,0.12117,-0.0027,-0.02573,912019968,15.525,254494000,71613000,-37904000,-0.65,113839000,1.9,271508000,2.321,3.523,24.973,138851008,162487632,0,0,60020680,53586778,4678438,0.0779,6.85,0.0904,0.01698,1.11222,2162,0,10872061.826773,1,0,2
9,7,0,0,85.76,121.24,0.53,0.842,557476,5444942336,6467281920,3.503411,3.757,0.00642,0.33706,0.21494,0.0553,0.0208,0.00852,1721548032,27.654,580268992,370023008,11045000,0.19,220674000,3.476,1243014016,1.501,1.699,24.479,341222016,80841752,0,0,62502263,62129862,2686357,0.0423,4.52,0.0433,0.00614,1.06885,5100,0,50778790.636872,0,451.368421,2
12,8,0,0,60.25,178.75,43.58,0.747,116790,1067912448,2243300608,1.421896,8.399,-0.08887,0.57858,0.49844,0.11883,0.00787,-0.03262,267076000,16.288,154526000,133121000,-29494000,-1.8,12378000,0.739,1111248000,0.156,2.297,42.373,101678000,-40870752,0.050157,1.2586,16756689,16665197,331957,0.0198,2.89,0.0291,0.00548,0.87808,374,0,26225379.368938,1,0,2
6,6,0,0,3.41,15.23,0.95,1.487,6053070,1167150080,617192000,3.12844,42.995,0,0.27544,14.035601,-13.157249,0.20172,-0.44837,14355000,0.044,3954000,201480992,-202898000,-0.38,607721984,1.776,57764000,9.259,9.392,1.09,-168192000,179167744,0,0,341272722,231047778,71969817,0.2103,9.12,0.343,0.19024,0.66773,278,0,52994495.412844,1,0,1
22,4,1,0,62.46,65.55,0.635856,0.665,6554973,76274745344,106345742336,6.148848,9.359,0.21376,0.6016,0.53041,0.34426,0.04268,0.17394,11363000320,9.311,6835999744,6026999808,2425999872,1.98,903000000,0.739,28572000256,0.375,0.536,10.158,5344000000,580875008,0.031185,0.9848,1221177427,1214155657,15068946,0.0123,2.2,0.0138,0.00461,0.88404,5829,0,2812758442.213034,0,31.545455,2
