@relation 'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46'

@attribute numberOfAnalystOpinions numeric
@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
18,7,71216766976,4.498781,3.561,23402000384,35.433,8509000192,11644999680,0.558,0.013532,0.4933,651826793,0.0351,0.00236,36.276667,2
18,7,25501009920,9.610025,5,5361999872,21.643,3211000064,2862000128,1.911,0.004121,0.1173,247537966,0.0143,0.00139,28.703911,2
20,9,5191189504,1.344352,3.254,1462569984,14.122,1232765056,1785741952,0.644,0,0,83377129,0.1216,0.10954,0,2
22,4,9245632512,0.890854,1.767,8952000512,34.365,4604000256,6595999744,0.399,0.032931,0.5286,255461683,0.0264,0.00506,15.845815,1
13,9,9604593664,13.956635,19.482,488631008,3.552,325920000,21898000,2.286,0,0,134742206,0.0861,0.01437,305.043478,0
2,4,155646928,2.123769,2.186,85840000,2.589,36502000,37566000,0.633,0.105727,16,30066298,0.0413,0.10317,151,2
9,1,15017398272,3.347006,1.247,15910800384,81.24,2955200000,7110300160,0.733,0.036265,0.4006,191473766,0.1555,0.01187,11.090129,2
5,2,2796708096,0.850068,0.81,4041884928,44.031,944083008,1099265024,2.043,0,0,85111458,0.0519,0.02713,8.132316,2
21,6,33808420864,3.481102,2.055,19967000576,43.739,8298999808,10716000256,0.832,0.00184,0.0266,455228876,0.0174,0.00274,15.17418,1
23,6,2356165376,1.62024,1.114,2481530880,25.645,565137984,1364292992,1.532,0,0,87646022,0.1874,0.04664,0,3
6,9,1501973760,6.951501,6.548,216912992,4.441,45937000,31997000,4.277,0,0,48018251,0.0422,0.06176,0,1
16,9,16463447040,1.58512,3.191,6147899904,17.893,3675099904,4977299968,0.77,0.006572,0.1441,319595895,0.0253,0.00326,21.918919,3
22,5,106932723712,1.540817,2.207,57486000128,143.085,15809000448,21572999168,0.184,0.013794,0.1634,369510150,0.0066,0.07361,11.846731,3
8,0,12755382272,4.907304,19.498,645169024,9.842,546702016,6688000,3.297,0.002903,0.2566,65289649,0.0527,0.00357,28.410557,2
4,4,854133568,1.337202,4.179,239904000,7.248,182884000,106000000,0.681,0.098194,1.9954,30195308,0.0905,0.17015,20.293578,2
2,2,2169716224,1.630374,0.79,4708434944,50.361,941934016,1580352000,0.556,0,0,29119337,0.0552,0.17709,7.559871,4
10,5,1765850880,1.255917,0.83,1248525952,11.026,328935008,22389000,4.95,0,0,105448490,0.0419,0.02896,24.046875,2
23,8,10941719552,2.430572,9.432,1570124032,14.471,964382016,3828363008,0.028,0.040844,2.9091,105021271,0.0279,0.0134,71.608392,3
16,9,17823928320,44.210167,4.325,4752099840,33.847,3040100096,3881700096,0.42,0,0,137532485,0.0538,0.00662,22.989286,2
4,6,845391168,10.184757,48.8,15416000,0.081,-37390000,4999000,19.756,0,0,126049560,0.0529,0.21874,0,1
9,6,1935335936,127.005646,101.558,19322000,0.232,13389000,200383008,2.339,0,0,60759905,0.2136,0.13364,0,1
9,6,561012544,2.427447,3.206,122122000,4.507,-70926000,26964000,4.594,0,0,25017468,0.1894,0.07882,0,0
5,3,372017440,0.741982,1.265,1862467968,23.475,404495008,2037774976,0.753,0.165217,3.3333,76915604,0.1771,0.03214,0,4
9,6,737509888,1.600356,1.532,187638000,1.853,176416992,3003000,9.23,0,0,78723038,0.1047,0.16936,0,1
9,6,4506933760,3.313842,1.029,5374021120,32.19,1057222976,1228701056,0.932,0,0,152854355,0.043,0.00767,22.039683,1
22,3,68564787200,9.534285,8.69,7659164160,7.861,4226618880,65483000,2.856,0,0,694103742,0.0216,0.28605,43.614907,2
2,1,5517864960,15.289576,22.069,260664000,2.063,173955008,542913024,2.577,0,0,49648114,0.028,0.60611,0,0
3,2,1200563200,1.404148,0.658,4238200064,30.734,760000000,1955600000,1.179,0.022599,0.1942,132354299,0.0617,0.02013,8.61165,4
