@relation 'train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48-weka.filters.unsupervised.attribute.Remove-R3-9,11,14-19,23-27,30-33,36,38,40-41,43-46-weka.filters.unsupervised.attribute.RemoveType-Tnominal'

@attribute numberOfAnalystOpinions numeric
@attribute marketCap numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute floatShares numeric
@attribute sharesPercentSharesOut numeric
@attribute heldPercentInsiders numeric
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
-0.898276,-0.149765,-0.185755,-0.035009,-0.24718,-0.277093,-0.20874,-0.333492,-0.324224,-0.650203,-0.134552,-0.188557,-0.592826,-0.449903,-0.10307,0
0.272132,-0.119327,-0.309931,-0.035488,-0.029085,-0.242758,-0.011111,0.264637,-0.207021,0.846569,0.345598,0.242413,-0.114846,-0.518128,-0.208271,3
0.623254,0.258197,-0.194699,-0.03142,-0.134835,-0.265752,0.117969,-0.141309,-0.516958,0.135615,0.025571,0.081701,-0.933116,-0.511166,-0.076303,3
-1.249399,-0.171522,-0.374067,-0.035833,-0.272845,-0.174744,-0.250636,-0.391838,-0.206761,-0.650203,-0.134552,-0.277938,-0.55742,-0.14907,-0.208271,3
-0.547154,-0.168255,-0.29184,-0.035865,-0.204848,0.673701,-0.191578,-0.318226,-0.485444,0.423125,-0.058805,-0.275732,3.280188,-0.480796,-0.110321,4
-0.547154,-0.137016,-0.271948,-0.035257,-0.154485,-0.163159,-0.007597,0.143841,-0.364073,2.819338,-0.086161,-0.195229,-0.844601,3.137637,-0.16569,3
-1.015317,-0.144268,-0.285088,-0.032542,-0.253557,-0.305087,-0.204874,0.240833,-0.361469,1.631275,0.276141,-0.173118,-0.484641,-0.429453,0.039946,0
-0.547154,-0.164525,0.067581,-0.035692,-0.253819,-0.08627,-0.242613,-0.392444,-0.300784,-0.650203,-0.134552,-0.262958,1.659384,-0.489237,-0.12915,1
-0.547154,-0.14496,-0.347825,-0.035747,-0.088048,0.171116,-0.13722,-0.250415,-0.428665,-0.650203,-0.134552,-0.192609,-0.415796,-0.293265,-0.171885,1
-0.430113,-0.171164,-0.337323,-0.035468,-0.284585,-0.355351,-0.253833,-0.393703,-0.433874,-0.650203,-0.134552,-0.269332,-0.506278,0.354783,-0.208271,0
-0.430113,-0.159092,-0.270465,-0.03537,-0.249693,-0.026028,-0.236226,-0.357815,-0.211188,-0.342767,-0.123956,-0.264989,-0.55742,-0.39508,-0.160632,1
0.623254,0.145243,-0.131003,-0.034963,0.268035,-0.146899,0.239586,0.395597,-0.376575,-0.068649,-0.057573,0.390181,-0.466938,-0.529876,-0.02352,2
0.623254,-0.058523,0.186657,-0.034528,-0.160254,-0.240326,-0.070739,-0.203474,-0.024185,-0.473087,-0.116247,-0.03542,-0.876073,-0.538317,-0.062087,2
0.857335,-0.149049,-0.327048,-0.035056,-0.252831,-0.29128,-0.186613,-0.276883,-0.354176,-0.650203,-0.134552,-0.208234,1.234513,0.402819,-0.208271,2
1.091417,-0.130977,-0.355233,-0.035506,-0.075024,-0.154135,0.010854,0.051215,-0.417987,0.765035,-0.052064,-0.027079,-0.638067,-0.50638,-0.127571,1
0.03805,-0.129377,0.456796,-0.030146,-0.275953,-0.362891,-0.23973,-0.397191,0.073485,-0.650203,-0.134552,-0.154162,0.53623,-0.425363,1.345264,0
-1.249399,-0.171494,-0.278608,-0.035379,-0.285516,-0.369415,-0.256683,-0.396122,-0.357041,3.893521,2.36225,-0.264355,-0.344984,0.347386,0.560746,2
-0.430113,-0.105251,-0.202585,-0.035663,0.090186,0.16344,-0.085723,0.086294,-0.330996,0.908312,-0.072038,-0.09444,1.901325,-0.447118,-0.151791,2
-0.898276,-0.159722,-0.357768,-0.035795,-0.191595,-0.088648,-0.203522,-0.323706,0.010195,-0.650203,-0.134552,-0.206409,-0.136483,-0.314324,-0.166855,2
0.974376,-0.021495,-0.194251,-0.035419,0.186485,-0.090627,0.227285,0.332231,-0.305211,-0.571138,-0.130401,0.183219,-0.815097,-0.526569,-0.130991,1
1.208458,-0.161685,-0.309902,-0.035703,-0.22864,-0.213212,-0.225718,-0.305629,-0.122896,-0.650203,-0.134552,-0.203741,2.528796,-0.144545,-0.208271,3
-0.781236,-0.165493,0.021432,-0.034059,-0.282404,-0.356868,-0.25613,-0.396502,0.592043,-0.650203,-0.134552,-0.245457,-0.327282,-0.012969,-0.208271,1
0.389172,-0.098806,-0.312085,-0.035075,-0.141596,-0.265732,-0.043555,-0.059193,-0.321359,-0.367756,-0.112065,0.040436,-0.659704,-0.522044,-0.096642,3
1.091417,0.304437,-0.314838,-0.035373,1.077227,0.582436,0.667176,1.072765,-0.473984,-0.057386,-0.109054,0.092982,-1.027532,0.090151,-0.147938,3
-0.547154,-0.115334,-0.105614,-0.030141,-0.272237,-0.320277,-0.226798,-0.398228,0.336801,-0.525424,-0.09451,-0.227275,-0.120747,-0.519346,-0.063581,2
-1.015317,-0.16838,-0.327493,-0.034776,-0.281858,-0.337851,-0.248108,-0.391455,-0.344539,3.569793,0.17683,-0.26422,0.622777,0.930255,-0.104919,2
-1.249399,-0.162517,-0.309272,-0.035801,-0.175771,-0.045763,-0.203648,-0.290892,-0.377096,-0.650203,-0.134552,-0.265352,-0.071572,0.990647,-0.16977,4
-0.313072,-0.164317,-0.332545,-0.035789,-0.257913,-0.312255,-0.239554,-0.397157,0.767326,-0.650203,-0.134552,-0.185,-0.333183,-0.298399,-0.085804,2
1.208458,-0.123418,-0.259541,-0.033187,-0.250278,-0.288916,-0.202333,-0.13756,-0.514614,1.105127,0.319413,-0.185449,-0.608562,-0.433804,0.156418,3
0.389172,-0.092742,2.33703,-0.034732,-0.174734,-0.157644,-0.08075,-0.133922,-0.412517,-0.650203,-0.134552,-0.151224,-0.09911,-0.492805,-0.09119,2
