@relation 'test_processed_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,44,46'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
6,1,0,0.270073,-0.239374,-1.268333,-1.020896,0.278939,0.584512,-0.169967,0.025714,0.099962,0.27172,0.674276,0.53486,0.123879,0.448888,0.064929,0.251141,-0.22776,-0.114077,-0.118417,-0.106101,-0.120902,1.020855,0.802808,0.399416,0.859751,0.870418,0.267106,-0.09925,-0.010401,-0.696466,-0.591185,0.56419,0.645948,-0.418854,-1.431614,-1.824497,-1.366401,-0.488413,0.53802,0.248834,0,0.272044,0,0.493627,2
2,0,0,0.542682,0.0558,-1.570845,0.259298,-1.298527,-0.3975,-0.37233,-0.09984,-0.748665,-0.049127,-0.878168,-0.306503,0.100346,0.277348,0.060968,0.218552,1.211494,-0.327593,-0.323379,-0.316993,0.114679,-1.577993,-1.107585,0.145278,-0.5548,0.109877,0.662905,-0.319803,-0.259062,0.063756,0.127912,-1.122781,-1.036444,-0.462901,0.960935,2.121106,0.999123,-0.156464,1.190629,0.433232,0,-0.226131,0,0.441085,1
9,1,0,1.215095,0.743541,0.592075,0.134042,0.207882,1.491193,0.803683,0.556425,0.165443,0.11927,-0.387253,0.239999,0.115903,0.675678,0.069174,1.063913,0.634365,0.338095,0.574185,0.333249,0.333564,0.419143,-0.362304,0.810263,-0.293852,-0.206053,0.834677,0.718987,0.32776,-0.126658,0.293864,0.816432,0.899348,-0.272444,-1.568909,-0.96412,-1.69876,-0.56321,0.157703,1.568135,0,0.383619,0,0.768706,1
5,0,0,0.697241,0.633496,1.408779,0.060362,-0.964131,0.048883,-0.358395,0.806119,0.762835,0.770585,0.705794,1.15498,0.148859,1.195386,0.810101,-0.763967,-0.249586,-0.388765,-0.354377,-0.274864,0.400343,-0.127836,0.479964,-0.491856,1.180401,0.920577,0.07349,-0.31787,-0.268554,0.124291,0.069335,-0.877217,-0.898208,-0.649404,0.321095,0.877817,0.190639,0.487778,0.353374,-0.933395,0,-0.566232,0,0.346631,2
7,0,0,-1.575408,-1.578223,0.154226,-1.687702,-0.907947,-1.811063,-0.446645,-1.3983,-0.691512,-0.094055,-0.574024,-0.407366,0.104963,-0.314283,-0.245483,-1.155459,-0.90702,-0.432014,-0.425403,-0.375509,-0.543834,-1.922862,-1.41186,-0.927971,-0.373987,0.9784,-0.518442,-0.417439,-0.354092,-0.696466,-0.591185,-0.812778,-1.171215,-1.211591,-0.626735,-0.426284,-0.697222,2.065874,-2.066038,-1.027854,0,-0.690728,0,0.885661,4
1,1,1,2.584888,2.589973,-1.325437,0.758482,0.68034,2.775035,8.678602,1.959749,1.248477,0.593134,0.166739,0.507313,0.135624,1.630596,1.076402,1.594571,1.070985,2.287339,2.751537,4.635675,3.793074,1.893232,1.663686,1.292636,0.011694,-0.36959,1.129275,2.333707,10.046926,-0.696466,-0.591185,1.139067,1.210768,0.203461,-1.324522,-1.006681,-1.598748,-0.518453,-0.316084,0.611667,0,0.728245,0,0.832666,2
7,0,0,-0.047147,-0.090503,-1.041736,0.406659,0.597902,-0.072269,-0.284024,-0.851726,-0.992442,-0.079413,-0.875378,-0.327746,0.101356,-0.096678,-0.05181,0.943345,1.155067,-0.026455,-0.062334,-0.225541,-0.115337,1.091083,1.591209,0.834197,-0.956474,-1.567179,0.658997,0.009605,-0.020426,-0.696466,-0.591185,-0.019199,0.078375,0.230053,0.404712,-1.023979,0.399437,-0.51563,0.030848,1.02523,0,0.510063,0,0.256292,0
2,0,0,0.204944,0.304846,-0.899164,0.023522,-1.578573,-1.176208,-0.430597,-1.170054,-0.931469,0.006563,-1.125432,-0.341909,0.096154,0.161198,-0.00336,-0.262825,1.168528,-0.408425,-0.389182,-0.337388,0.472687,-1.043203,0.050417,-0.355809,-0.194952,0.164008,1.19343,-0.393672,-0.32354,-0.696466,-0.591185,-1.856326,-1.731705,-2.049766,-0.377694,-1.01531,-0.54344,-0.384181,0.427827,0.301469,0,-1.06481,0,-0.045142,1
8,0,0,-1.835524,-1.620693,-0.336909,0.787954,-0.548933,-1.37554,-0.405707,-1.581772,0.818669,-0.385367,1.474957,2.026827,0.162812,-0.054288,-0.386745,-1.181441,-1.504868,-0.410028,-0.378096,-0.391714,-0.606903,-0.440033,-0.805045,0.35148,-0.115092,2.404837,-0.643522,-0.398783,-0.19684,5.237065,5.581734,0.087242,0.086734,-0.080995,-0.222624,1.083748,-0.403939,-0.331259,-1.457778,-2.39818,0,0.744221,1,-1.599279,3
7,1,0,1.909088,1.899169,0.516133,-0.140417,-1.021937,0.689606,-0.105035,1.958558,0.022164,0.320385,-0.463546,0.117417,0.120645,2.208804,3.258249,0.420048,1.416664,-0.203768,-0.143066,0.029682,3.76896,-1.041229,-0.628395,0.169689,-0.52976,-0.303071,0.408303,-0.170249,-0.136407,-0.261079,-0.216119,-1.074849,-1.037896,-0.945574,0.160343,0.224092,0.071051,0.476186,-0.845554,0.619189,0,-0.053831,0,0.340195,3
