@relation InstanceResultListener

@attribute Key_Dataset {'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47','train_processed_std_bal_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47','train_std_bal_main_finantial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47','train_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47'}
@attribute Key_Run {1,2,3,4,5}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {-D,-K}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',1,10,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,32,71,0,31.067961,68.932039,0,0.115933,0.277552,0.44125,91.772843,113.450621,221.693131,465.233763,-243.540632,2.15236,4.516833,-2.364472,44.782186,0.434779,20.200079,0.636364,7,0.206522,19,0.793478,73,0.363636,4,0.269231,0.636364,0.378378,0.30561,0.749506,0.277682,0.31068,0.201807,0.798193,0.68932,0.335114,0.31068,0.296978,0.105178,0.617202,0.337182,0.304155,0.31068,0.011,0,0,0,0,0,28757,394690,47786,72.815534,51.067961,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',2,1,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,34,69,0,33.009709,66.990291,0,0.114834,0.272346,0.437749,90.267803,112.855197,219.71655,430.919144,-211.202594,2.13317,4.183681,-2.050511,46.550611,0.451948,21.186666,0.545455,6,0.195652,18,0.804348,74,0.454545,5,0.25,0.545455,0.342857,0.255561,0.670455,0.403974,0.330097,0.226611,0.773389,0.669903,0.314895,0.330097,0.299048,0.094951,0.621996,0.383574,0.334604,0.330097,0.008,0,0,0,0,0,28676,394690,47786,75.728155,54.368932,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',2,2,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,34,69,0,33.009709,66.990291,0,0.129897,0.270518,0.430262,89.453123,110.63393,221.182383,348.116349,-126.933966,2.147402,3.37977,-1.232369,46.5952,0.452381,21.066416,0.583333,7,0.208791,19,0.791209,72,0.416667,5,0.269231,0.583333,0.368421,0.276618,0.815018,0.380128,0.330097,0.202535,0.797465,0.669903,0.319366,0.330097,0.301919,0.114997,0.622774,0.379197,0.294187,0.330097,0.008,0,0,0,0,0,28118,394690,47786,74.757282,53.980583,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',2,3,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,32,71,0,31.067961,68.932039,0,0.114327,0.277682,0.451241,91.822391,116.028344,221.182383,476.449777,-255.267394,2.147402,4.625726,-2.478324,43.887828,0.426095,19.842371,0.583333,7,0.318681,29,0.681319,62,0.416667,5,0.194444,0.583333,0.291667,0.178073,0.705128,0.372398,0.31068,0.193085,0.806915,0.68932,0.339634,0.31068,0.296166,0.117609,0.636274,0.380703,0.245827,0.31068,0.01,0,0,0,0,0,28807,394690,47786,68.932039,50.291262,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',2,4,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,34,69,0,33.009709,66.990291,0,0.108505,0.278916,0.435537,92.230188,111.990376,221.182383,403.875168,-182.692785,2.147402,3.921118,-1.773716,40.22424,0.390527,18.186005,0.5,6,0.186813,17,0.813187,74,0.5,6,0.26087,0.5,0.342857,0.241271,0.712454,0.254333,0.330097,0.225989,0.774011,0.669903,0.327371,0.330097,0.305435,0.104022,0.59964,0.329266,0.260262,0.330097,0.006,0,0,0,0,0,28430,394690,47786,71.84466,52.23301,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',2,5,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,18,85,0,17.475728,82.524272,0,-0.080731,0.316876,0.488973,104.831862,125.796732,220.942715,500.169861,-279.227146,2.145075,4.856018,-2.710943,11.6203,0.112818,5.259417,0.25,3,0.186813,17,0.813187,74,0.75,9,0.15,0.25,0.1875,0.051249,0.670788,0.197024,0.174757,0.260261,0.739739,0.825243,0.205593,0.174757,0.174836,-0.076995,0.493684,0.247222,0.144167,0.174757,0,0,0,0,0,0,28984,394690,47786,69.902913,52.621359,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',2,6,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,28,75,0,27.184466,72.815534,0,0.073074,0.292281,0.466009,96.695203,119.888957,220.942715,522.174905,-301.232191,2.145075,5.069659,-2.924584,35.03415,0.340137,15.856667,0.666667,8,0.32967,30,0.67033,61,0.333333,4,0.210526,0.666667,0.32,0.224072,0.681777,0.303971,0.271845,0.196515,0.803485,0.728155,0.266584,0.271845,0.243628,0.05746,0.578191,0.318694,0.204486,0.271845,0.016,0,0,0,0,0,28888,394690,47786,66.019417,50.291262,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',2,7,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,34,69,0,33.009709,66.990291,0,0.134243,0.269408,0.423609,89.127972,108.98073,220.942715,308.479006,-87.536292,2.145075,2.994942,-0.849867,49.575759,0.481318,22.438286,0.916667,11,0.186813,17,0.813187,74,0.083333,1,0.392857,0.916667,0.55,0.526305,0.868132,0.444871,0.330097,0.210006,0.789994,0.669903,0.337825,0.330097,0.304537,0.109192,0.630917,0.370113,0.327635,0.330097,0,0.015,0.015625,0,15.625,0,28037,394690,47786,78.640777,54.951456,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',2,8,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,31,72,0,30.097087,69.902913,0,0.099782,0.279248,0.444686,92.383197,114.403108,220.942715,462.297345,-241.354631,2.145075,4.488324,-2.343249,41.577739,0.403667,18.818334,0.5,6,0.241758,22,0.758242,69,0.5,6,0.214286,0.5,0.3,0.186221,0.727564,0.353145,0.300971,0.204396,0.795604,0.699029,0.320212,0.300971,0.29546,0.093707,0.601274,0.380177,0.27673,0.300971,0,0,0,0,0,0,28668,394690,47786,64.07767,51.262136,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,49,45,47',2,9,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1207,927,103,33,70,0,32.038835,67.961165,0,0.135595,0.286242,0.455238,94.697302,117.117738,220.942715,476.656398,-255.713683,2.145075,4.627732,-2.482657,38.417849,0.372989,17.388149,0.583333,7,0.318681,29,0.681319,62,0.416667,5,0.194444,0.583333,0.291667,0.178073,0.728022,0.275127,0.320388,0.181034,0.818966,0.679612,0.370173,0.320388,0.312446,0.143576,0.603816,0.334819,0.264085,0.320388,0.005,0,0.03125,0,31.25,0,28758,394690,47786,66.019417,51.650485,?,?,?
