@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data

train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,10,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,27,55,0,32.926829,67.073171,0,0.150979,0.287198,0.434845,95.357932,112.045259,175.859521,254.764911,-78.90539,2.144628,3.106889,-0.962261,29.00359,0.353702,16.492476,0.875,7,0.337838,25,0.662162,49,0.125,1,0.21875,0.875,0.35,0.326743,0.824324,0.326309,0.329268,0.175124,0.824876,0.670732,0.390998,0.329268,0.299086,0.154297,0.610765,0.364257,0.272129,0.329268,0.002,0,0.015625,0,15.625,0,28756,340263,41283,75.609756,57.804878,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,1,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,741,83,27,56,0,32.53012,67.46988,0,0.117524,0.271582,0.393137,90.227174,101.366804,177.413299,192.559088,-15.14579,2.13751,2.319989,-0.182479,38.926434,0.468993,21.941102,0.555556,5,0.175676,13,0.824324,61,0.444444,4,0.277778,0.555556,0.37037,0.286609,0.761261,0.443416,0.325301,0.213383,0.786617,0.674699,0.335876,0.325301,0.319093,0.10893,0.644169,0.419094,0.29727,0.325301,0,0,0,0,0,0,28442,339810,41736,90.361446,66.746988,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,2,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,741,83,26,57,0,31.325301,68.674699,0,0.114708,0.282414,0.407543,93.825732,105.081149,177.413299,196.785968,-19.372669,2.13751,2.370915,-0.233406,32.271168,0.388809,18.189825,0.444444,4,0.22973,17,0.77027,57,0.555556,5,0.190476,0.444444,0.266667,0.153565,0.703453,0.278094,0.313253,0.195,0.805,0.686747,0.340661,0.313253,0.312528,0.117655,0.639179,0.360595,0.25908,0.313253,0.016,0,0.015625,0,15.625,0,28432,339810,41736,92.771084,70.843373,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,3,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,741,83,20,63,0,24.096386,75.903614,0,0.016366,0.299096,0.439555,99.368131,113.335078,177.413299,290.191227,-112.777928,2.13751,3.49628,-1.35877,20.558721,0.247695,11.588038,0.222222,2,0.22973,17,0.77027,57,0.777778,7,0.105263,0.222222,0.142857,-0.005556,0.632132,0.146564,0.240964,0.232162,0.767838,0.759036,0.190586,0.240964,0.207538,-0.01474,0.561697,0.315553,0.211715,0.240964,0.01,0,0,0,0,0,28858,339810,41736,74.698795,62.409639,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,4,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,741,83,23,60,0,27.710843,72.289157,0,0.084054,0.285016,0.415544,94.690454,107.144285,177.413299,212.166228,-34.752929,2.13751,2.55622,-0.41871,30.479473,0.367223,17.179926,0.555556,5,0.283784,21,0.716216,53,0.444444,4,0.192308,0.555556,0.285714,0.182187,0.750751,0.338495,0.277108,0.199332,0.800668,0.722892,0.306457,0.277108,0.273768,0.071583,0.619813,0.358604,0.274496,0.277108,0.006,0,0.015625,0,15.625,0,28338,339810,41736,84.337349,69.156627,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,5,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,25,57,0,30.487805,69.512195,0,0.099942,0.296696,0.453213,98.590845,116.883312,175.521693,331.924171,-156.402478,2.140508,4.047856,-1.907347,23.102604,0.281739,13.16225,0.75,6,0.310811,23,0.689189,51,0.25,2,0.206897,0.75,0.324324,0.272568,0.727196,0.231584,0.304878,0.212954,0.787046,0.695122,0.285796,0.304878,0.261131,0.07612,0.567425,0.300012,0.252744,0.304878,0.004,0,0,0,0,0,29184,340263,41283,70.731707,53.414634,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,6,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,25,57,0,30.487805,69.512195,0,0.073905,0.279518,0.409456,92.882452,105.598471,175.521693,227.392765,-51.871072,2.140508,2.773083,-0.632574,35.579974,0.433902,20.270984,0.5,4,0.22973,17,0.77027,57,0.5,4,0.190476,0.5,0.275862,0.183732,0.64527,0.278262,0.304878,0.233012,0.766988,0.695122,0.293481,0.304878,0.268539,0.066534,0.605027,0.360659,0.221268,0.304878,0.007,0,0,0,0,0,28862,340263,41283,84.146341,63.170732,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,7,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,24,58,0,29.268293,70.731707,0,0.106351,0.274759,0.385498,91.301113,99.419576,175.521693,167.565577,7.956116,2.140508,2.043483,0.097026,39.125353,0.477138,22.290893,0.75,6,0.135135,10,0.864865,64,0.25,2,0.375,0.75,0.5,0.460372,0.929054,0.508431,0.292683,0.203032,0.796968,0.707317,0.275111,0.292683,0.266479,0.059521,0.662128,0.377718,0.311245,0.292683,0.007,0.001,0.015625,0,15.625,0,28214,340263,41283,96.341463,73.902439,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,8,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,24,58,0,29.268293,70.731707,0,0.075787,0.295426,0.445142,98.16856,114.801643,175.521693,309.579057,-134.057364,2.140508,3.775354,-1.634846,23.779625,0.289995,13.547969,0.5,4,0.283784,21,0.716216,53,0.5,4,0.16,0.5,0.242424,0.139361,0.711149,0.234832,0.292683,0.222136,0.777864,0.707317,0.325062,0.292683,0.283158,0.076639,0.57037,0.319909,0.237732,0.292683,0.004,0,0,0,0,0,28862,340263,41283,70.731707,56.097561,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,2,9,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.0651,742,82,18,64,0,21.95122,78.04878,0,0.011676,0.310693,0.467274,103.241793,120.50964,175.521693,343.374004,-167.852311,2.140508,4.187488,-2.046979,12.346339,0.150565,7.034081,0.25,2,0.310811,23,0.689189,51,0.75,6,0.08,0.25,0.121212,-0.039195,0.646959,0.350223,0.219512,0.202004,0.797996,0.780488,0.301463,0.219512,0.235924,0.035113,0.574811,0.346461,0.180794,0.219512,0.004,0.001,0,0,0,0,28860,340263,41283,60.97561,53.658537,?,?,?,?,?,?,?
