@relation InstanceResultListener

@attribute Key_Dataset {'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2'}
@attribute Key_Run {1,2,3}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {-D,-K}
@attribute Key_Scheme_version_ID {5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureExtraArcs numeric
@attribute measureMissingArcs numeric
@attribute measureReversedArcs numeric
@attribute measureDivergence numeric
@attribute measureBayesScore numeric
@attribute measureBDeuScore numeric
@attribute measureMDLScore numeric
@attribute measureAICScore numeric
@attribute measureEntropyScore numeric

@data
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',1,10,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,980,108,30,78,0,27.777778,72.222222,0,0.096137,0.28788,0.457483,94.153226,116.981396,236.121378,431.914618,-195.79324,2.186309,3.999209,-1.8129,41.749519,0.38657,17.68138,0.785714,11,0.329787,31,0.670213,63,0.214286,3,0.261905,0.785714,0.392857,0.314142,0.768617,0.502992,0.277778,0.186979,0.813021,0.722222,0.295919,0.277778,0.252965,0.07948,0.606589,0.341424,0.253291,0.277778,0.012,0,0,0,0,0,27470,400811,47651,63.888889,48.888889,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',2,1,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,31,78,0,28.440367,71.559633,0,0.112526,0.295225,0.468784,96.728401,120.112675,236.588645,492.726297,-256.137652,2.170538,4.520425,-2.349887,35.58078,0.326429,15.03909,0.785714,11,0.368421,35,0.631579,60,0.214286,3,0.23913,0.785714,0.366667,0.282695,0.743609,0.394374,0.284404,0.169875,0.830125,0.715596,0.319869,0.284404,0.264056,0.106338,0.587033,0.318948,0.248087,0.284404,0.01,0,0,0,0,0,27358,400406,48056,64.220183,48.073394,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',2,2,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,37,72,0,33.944954,66.055046,0,0.155493,0.273623,0.435459,89.65063,111.574121,236.588645,412.590603,-176.001957,2.170538,3.785235,-1.614697,52.342404,0.480206,22.123802,0.642857,9,0.284211,27,0.715789,68,0.357143,5,0.25,0.642857,0.36,0.255141,0.745489,0.338966,0.33945,0.179932,0.820068,0.66055,0.350841,0.33945,0.327049,0.152654,0.641717,0.375007,0.2795,0.33945,0,0,0.015625,0,15.625,0,27362,400406,48056,72.477064,51.376147,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',2,3,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,29,80,0,26.605505,73.394495,0,0.075684,0.279861,0.441285,91.558062,112.877315,238.044487,394.738547,-156.694059,2.183894,3.621455,-1.43756,47.908354,0.439526,20.125799,0.571429,8,0.357895,34,0.642105,61,0.428571,6,0.190476,0.571429,0.285714,0.146801,0.733083,0.286912,0.266055,0.193407,0.806593,0.733945,0.318526,0.266055,0.25284,0.078105,0.650271,0.380368,0.252801,0.266055,0.016,0,0,0,0,0,27254,400406,48056,72.477064,52.110092,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',2,4,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,34,75,0,31.192661,68.807339,0,0.132258,0.289195,0.453434,94.611785,115.98493,238.044487,459.62493,-221.580443,2.183894,4.216742,-2.032848,40.082646,0.367731,16.8383,0.571429,8,0.315789,30,0.684211,65,0.428571,6,0.210526,0.571429,0.307692,0.179487,0.677068,0.350771,0.311927,0.17634,0.82366,0.688073,0.352652,0.311927,0.312251,0.138398,0.584901,0.335334,0.284528,0.311927,0,0,0.015625,0,15.625,0,27468,400406,48056,66.972477,51.192661,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',2,5,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,37,72,0,33.944954,66.055046,0,0.173721,0.278628,0.441134,91.111206,112.778324,238.311413,447.825325,-209.513912,2.186343,4.108489,-1.922146,49.325873,0.452531,20.698074,0.714286,10,0.305263,29,0.694737,66,0.285714,4,0.25641,0.714286,0.377358,0.285491,0.714662,0.298545,0.33945,0.159179,0.840821,0.66055,0.40718,0.33945,0.337746,0.189832,0.631725,0.353857,0.309142,0.33945,0.018,0,0,0,0,0,27256,400406,48056,68.807339,52.110092,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',2,6,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,33,76,0,30.275229,69.724771,0,0.129375,0.292152,0.451588,95.533812,115.450932,238.311413,434.7754,-196.463987,2.186343,3.988765,-1.802422,41.708553,0.382647,17.501702,0.642857,9,0.305263,29,0.694737,66,0.357143,5,0.236842,0.642857,0.346154,0.237028,0.754135,0.300114,0.302752,0.174617,0.825383,0.697248,0.322123,0.302752,0.280653,0.117804,0.590509,0.31328,0.27447,0.302752,0.005,0,0.015625,0,15.625,0,27262,400406,48056,68.807339,51.559633,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',2,7,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,34,75,0,31.192661,68.807339,0,0.129856,0.286676,0.452837,93.74293,115.770483,238.311413,485.246886,-246.935473,2.186343,4.451806,-2.265463,42.373353,0.388746,17.780665,0.5,7,0.326316,31,0.673684,64,0.5,7,0.184211,0.5,0.269231,0.121945,0.67594,0.291944,0.311927,0.175439,0.824561,0.688073,0.367057,0.311927,0.319397,0.147291,0.614354,0.38071,0.297401,0.311927,0,0,0,0,0,0,27252,400406,48056,62.385321,49.908257,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',2,8,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,979,109,40,69,0,36.697248,63.302752,0,0.193458,0.267915,0.417587,87.565361,106.70012,238.541847,337.73336,-99.191512,2.188457,3.098471,-0.910014,58.748699,0.538979,24.628257,0.714286,10,0.231579,22,0.768421,73,0.285714,4,0.3125,0.714286,0.434783,0.354641,0.778571,0.379579,0.366972,0.17876,0.82124,0.633028,0.35483,0.366972,0.331196,0.170903,0.655311,0.384369,0.337096,0.366972,0,0,0.015625,0,15.625,0,27140,400406,48056,80.733945,56.697248,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
'train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,47,49,45-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NominalToBinary-R3,4,46-weka.filters.unsupervised.attribute.Remove-R2',2,9,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,20251028.1702,980,108,34,74,0,31.481481,68.518519,0,0.147065,0.289019,0.451152,94.621347,115.493229,234.895971,429.470473,-194.574501,2.174963,3.976578,-1.801616,42.704286,0.39541,18.180085,0.714286,10,0.319149,30,0.680851,64,0.285714,4,0.25,0.714286,0.37037,0.274847,0.770137,0.422214,0.314815,0.164518,0.835482,0.685185,0.421404,0.314815,0.307899,0.16808,0.614138,0.35607,0.285434,0.314815,0.006,0,0.015625,0,15.625,0,27356,400811,47651,68.518519,53.148148,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
