@relation InstanceResultListener

@attribute Key_Dataset {'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48','train_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48','train_proc_std_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48'}
@attribute Key_Run {1,2,3}
@attribute Key_Fold {1,2,3,4,5}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.trees.RandomTree,weka.classifiers.trees.RandomForest,weka.classifiers.trees.REPTree,weka.classifiers.trees.LMT,weka.classifiers.rules.JRip,weka.classifiers.rules.OneR,weka.classifiers.rules.DecisionTable,weka.classifiers.lazy.IBk,weka.classifiers.lazy.KStar,weka.classifiers.functions.RBFClassifier,weka.classifiers.functions.SMO}
@attribute Key_Scheme_options {'-C 0.1 -M 10','-K 0 -M 1.0 -V 0.001 -S 1','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1 -depth 20','-M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0','-I -1 -M 15 -W 0.0','-F 3 -N 2.0 -O 2 -S 1','-B 6','-X 1 -S \"weka.attributeSelection.BestFirst -D 1 -N 5\"','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-B 40 -M a','-N 5 -R 0.01 -L 1.0E-6 -C 2 -P 1 -E 1 -S 1','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -E 1.0 -C 250007\" -calibrator \"weka.classifiers.functions.Logistic -R 1.0E-8 -M -1 -num-decimal-places 4\"'}
@attribute Key_Scheme_version_ID {-217733168393644444,-9051119597407396024,1116839470751428698,-9216785998198681299,-1113212459618104943,-6589312996832147161,-3459427003147861443,2888557078165701326,-3080186098777067172,332458330800479083,-7847475556438394611,-6585883636378691736}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 66\nSize of the tree: 113\n','Number of leaves: 64\nSize of the tree: 109\n','Number of leaves: 47\nSize of the tree: 84\n','Number of leaves: 46\nSize of the tree: 82\n','Number of leaves: 40\nSize of the tree: 70\n','Number of leaves: 75\nSize of the tree: 131\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 73\nSize of the tree: 127\n','Number of leaves: 52\nSize of the tree: 94\n','Number of leaves: 53\nSize of the tree: 96\n','Number of leaves: 60\nSize of the tree: 101\n','Number of leaves: 43\nSize of the tree: 76\n','Number of leaves: 57\nSize of the tree: 104\n','Number of leaves: 49\nSize of the tree: 88\n','Number of leaves: 85\nSize of the tree: 142\n','Number of leaves: 48\nSize of the tree: 86\n','Number of leaves: 72\nSize of the tree: 125\n','Number of leaves: 63\nSize of the tree: 107\n','Number of leaves: 79\nSize of the tree: 139\n','Number of leaves: 81\nSize of the tree: 134\n','Number of leaves: 71\nSize of the tree: 123\n','Number of leaves: 54\nSize of the tree: 98\n','Number of leaves: 57\nSize of the tree: 95\n','Number of leaves: 59\nSize of the tree: 108\n','Number of leaves: 62\nSize of the tree: 114\n','Number of leaves: 89\nSize of the tree: 141\n','Number of leaves: 62\nSize of the tree: 105\n','Number of leaves: 55\nSize of the tree: 100\n','Number of leaves: 39\nSize of the tree: 68\n','Number of leaves: 67\nSize of the tree: 106\n','Number of leaves: 34\nSize of the tree: 67\n','Number of leaves: 43\nSize of the tree: 85\n','Number of leaves: 87\nSize of the tree: 137\n','Number of leaves: 68\nSize of the tree: 117\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric

@data
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',2,5,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1199,299,107,192,0,35.785953,64.214047,0,0.142371,0.28577,0.41163,92.930917,104.969554,658.360281,41335.620957,-40677.260677,2.201874,138.246224,-136.04435,114.151904,0.381779,17.33882,0.341463,14,0.100775,26,0.899225,232,0.658537,27,0.35,0.341463,0.345679,0.243207,0.679713,0.255618,0.35786,0.221796,0.778204,0.64214,0.370246,0.35786,0.347192,0.148567,0.591481,0.302412,0.329045,0.35786,0.154,0.002,0.125,0,125,0,36577,499534,127834,83.946488,70.501672,'Number of leaves: 73\nSize of the tree: 127\n',127,73,73,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',3,1,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1198,300,91,209,0,30.333333,69.666667,0,0.08731,0.28688,0.409066,93.313613,104.348215,660.081717,22061.098333,-21401.016617,2.200272,73.536994,-71.336722,110.3535,0.367845,16.718157,0.268293,11,0.173745,45,0.826255,214,0.731707,30,0.196429,0.268293,0.226804,0.083349,0.784443,0.289917,0.303333,0.217485,0.782515,0.696667,0.302867,0.303333,0.298075,0.088031,0.602648,0.298127,0.282625,0.303333,0.096,0.001,0,0,0,0,28591,499121,128247,90.666667,73.6,'Number of leaves: 52\nSize of the tree: 94\n',94,52,52,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',3,2,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1198,300,103,197,0,34.333333,65.666667,0,0.156786,0.283081,0.400513,92.051664,102.127174,660.580234,27405.588676,-26745.008442,2.201934,91.351962,-89.150028,125.420393,0.418068,18.986398,0.439024,18,0.142857,37,0.857143,222,0.560976,23,0.327273,0.439024,0.375,0.262914,0.652133,0.262976,0.343333,0.186402,0.813598,0.656667,0.355258,0.343333,0.34082,0.1568,0.6222,0.312449,0.321451,0.343333,0.082,0.001,0.015625,0,15.625,0,29075,499121,128247,86.666667,71.4,'Number of leaves: 53\nSize of the tree: 96\n',96,53,53,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',3,3,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1198,300,95,205,0,31.666667,68.333333,0,0.099191,0.282782,0.400299,91.954316,102.072731,660.580234,23106.947699,-22446.367465,2.201934,77.023159,-74.821225,119.504819,0.398349,18.090886,0.463415,19,0.169884,44,0.830116,215,0.536585,22,0.301587,0.463415,0.365385,0.247543,0.6882,0.256227,0.316667,0.221091,0.778909,0.683333,0.289933,0.316667,0.283389,0.088983,0.621784,0.324682,0.266717,0.316667,0.055,0,0.015625,0,15.625,0,30285,499121,128247,91.333333,75.066667,'Number of leaves: 60\nSize of the tree: 101\n',101,60,60,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',3,4,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1199,299,73,226,0,24.414716,75.585284,0,0.017034,0.300174,0.416946,97.653885,106.38148,657.4377,27456.336278,-26798.898577,2.198788,91.827212,-89.628423,74.635462,0.249617,11.352477,0.2,8,0.135135,35,0.864865,224,0.8,32,0.186047,0.2,0.192771,0.062927,0.65444,0.201588,0.244147,0.231192,0.768808,0.755853,0.239428,0.244147,0.239224,0.01013,0.56102,0.267252,0.227387,0.244147,0.083,0,0.015625,0,15.625,0,24235,499534,127834,88.294314,78.26087,'Number of leaves: 43\nSize of the tree: 76\n',76,43,43,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',3,5,weka.classifiers.trees.J48,'-C 0.1 -M 10',-217733168393644444,20251029.2214,1199,299,95,204,0,31.772575,68.227425,0,0.098546,0.291436,0.412109,94.811094,105.147398,657.4377,40266.490739,-39609.053039,2.198788,134.670538,-132.471749,100.561988,0.336328,15.296048,0.375,15,0.07722,20,0.92278,239,0.625,25,0.428571,0.375,0.4,0.315311,0.762307,0.323388,0.317726,0.224406,0.775594,0.682274,0.309393,0.317726,0.310786,0.094973,0.579025,0.294259,0.294359,0.317726,0.067,0,0.046875,0,46.875,0,31011,499534,127834,87.29097,72.909699,'Number of leaves: 57\nSize of the tree: 104\n',104,57,57,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,1,weka.classifiers.trees.RandomTree,'-K 0 -M 1.0 -V 0.001 -S 1',-9051119597407396024,20251029.2214,1198,300,91,209,0,30.333333,69.666667,0,0.077059,0.276684,0.523319,89.983968,133.466708,660.315921,219105.01309,-218444.697169,2.201053,730.350044,-728.148991,113.353527,0.377845,17.16656,0.170732,7,0.050193,13,0.949807,246,0.829268,34,0.35,0.170732,0.229508,0.165987,0.555467,0.173089,0.303333,0.227568,0.772432,0.696667,0.302237,0.303333,0.29556,0.081408,0.542163,0.253649,0.264233,0.303333,0.042,0,0,0,0,0,88061,499121,128247,32,20.933333,?,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,2,weka.classifiers.trees.RandomTree,'-K 0 -M 1.0 -V 0.001 -S 1',-9051119597407396024,20251029.2214,1198,300,84,216,0,28,72,0,0.060393,0.28807,0.534971,93.687056,136.438385,660.315921,228771.377,-228111.061079,2.201053,762.571257,-760.370204,93.211045,0.310703,14.116129,0.243902,10,0.138996,36,0.861004,223,0.756098,31,0.217391,0.243902,0.229885,0.100011,0.570534,0.161396,0.28,0.220982,0.779018,0.72,0.274835,0.28,0.276719,0.057745,0.529928,0.246023,0.246241,0.28,0.03,0.003,0,0,0,0,87957,499121,128247,29,21.066667,?,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,3,weka.classifiers.trees.RandomTree,'-K 0 -M 1.0 -V 0.001 -S 1',-9051119597407396024,20251029.2214,1198,300,84,216,0,28,72,0,0.066538,0.287219,0.530638,93.397058,135.307905,660.580234,223415.432243,-222754.852009,2.201934,744.718107,-742.516173,99.006324,0.330021,14.987782,0.268293,11,0.111969,29,0.888031,230,0.731707,30,0.275,0.268293,0.271605,0.157961,0.574442,0.175672,0.28,0.214806,0.785194,0.72,0.282549,0.28,0.281148,0.065277,0.535349,0.248481,0.255447,0.28,0.06,0.001,0.03125,0,31.25,0,94533,499121,128247,30.666667,22.266667,?,?,?,?,?
'train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R45-weka.filters.unsupervised.attribute.NumericToNominal-R2-4,46,48',1,4,weka.classifiers.trees.RandomTree,'-K 0 -M 1.0 -V 0.001 -S 1',-9051119597407396024,20251029.2214,1199,299,95,204,0,31.772575,68.227425,0,0.106979,0.273946,0.520242,89.108872,132.711886,657.702014,216955.854423,-216298.15241,2.199672,725.604864,-723.405192,120.068819,0.401568,18.255808,0.275,11,0.127413,33,0.872587,226,0.725,29,0.25,0.275,0.261905,0.141818,0.566264,0.164216,0.317726,0.210651,0.789349,0.682274,0.311664,0.317726,0.313448,0.106539,0.551187,0.259612,0.28779,0.317726,0.027,0.001,0.015625,0,15.625,0,89891,499534,127834,32.441472,21.137124,?,?,?,?,?
