Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules,measureOutOfBagError,measureAttributesUsed,measureNumIterations
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,1,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,2.02510280642E7,741.0,83.0,22.0,61.0,0.0,26.50602409638554,73.49397590361446,0.0,0.06362123173663772,0.3003443641281134,0.4548404714269443,99.75069911863038,117.23389546631975,177.76734994778553,315.79799151113065,-138.0306415633451,2.141775300575729,3.804795078447357,-1.6630197778716278,17.670850325756113,0.21290181115368811,9.94043637987879,0.25,2.0,0.29333333333333333,22.0,0.7066666666666667,53.0,0.75,6.0,0.08333333333333333,0.25,0.125,-0.028207597379178502,0.5633333333333334,0.22871760673667452,0.26506024096385544,0.1974207679835714,0.8025792320164284,0.7349397590361446,0.30294989481736473,0.26506024096385544,0.271349915792201,0.0707802957916176,0.5716129301775423,0.3343159537135455,0.23104454685099848,0.26506024096385544,0.016,0.0,0.0,0.0,0.0,0.0,28970.0,339810.0,41736.0,67.46987951807229,54.21686746987954,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,2,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,2.02510280642E7,741.0,83.0,21.0,62.0,0.0,25.301204819277107,74.6987951807229,0.0,0.0308851224105461,0.28947780752782937,0.4318640594225535,96.14168644067604,111.31178771134508,177.76734994778553,246.57669563316134,-68.8093456853758,2.141775300575729,2.9708035618453175,-0.829028261269588,27.413170426469286,0.3302791617646902,15.420812896474624,0.375,3.0,0.22666666666666666,17.0,0.7733333333333333,58.0,0.625,5.0,0.15,0.375,0.21428571428571425,0.10235972463578254,0.7408333333333333,0.2289426691729323,0.25301204819277107,0.22577916316005864,0.7742208368399414,0.7469879518072289,0.2883716684921504,0.25301204819277107,0.2499898679238991,0.03255337327926312,0.5982987746614471,0.3515135566800176,0.20903697395500673,0.25301204819277107,0.01,0.001,0.0,0.0,0.0,0.0,28746.0,339810.0,41736.0,78.3132530120482,60.96385542168679,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,3,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,2.02510280642E7,741.0,83.0,21.0,62.0,0.0,25.301204819277107,74.6987951807229,0.0,0.039028944911297825,0.29445052266697125,0.44696167049280605,97.79323003826329,115.20315593644689,177.76734994778553,265.0223647979018,-87.25501485011625,2.141775300575729,3.1930405397337567,-1.051265239158027,26.430290007890175,0.318437229010725,14.867910229664435,0.75,6.0,0.32,24.0,0.68,51.0,0.25,2.0,0.2,0.75,0.31578947368421056,0.264146900238599,0.7533333333333333,0.28865149606753454,0.25301204819277107,0.22268592910047422,0.7773140708995259,0.7469879518072289,0.2726716389366992,0.25301204819277107,0.21896593894374494,0.022287292691075794,0.5933883729951696,0.3108988209381259,0.1924793233082707,0.25301204819277107,0.009,0.0,0.0,0.0,0.0,0.0,28854.0,339810.0,41736.0,77.10843373493977,59.03614457831328,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,4,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,2.02510280642E7,741.0,83.0,20.0,63.0,0.0,24.096385542168676,75.90361445783132,0.0,-0.003646833013435718,0.2976398715992181,0.44472881383099,98.70212284796357,114.43161136867602,178.78838959346797,286.83587022651335,-108.04748063304538,2.154076983053831,3.455853858150763,-1.3017768750969323,21.997368660371148,0.2650285380767608,12.303577827614605,0.4444444444444444,4.0,0.2702702702702703,20.0,0.7297297297297297,54.0,0.5555555555555556,5.0,0.16666666666666666,0.4444444444444444,0.24242424242424243,0.11945085095523397,0.7454954954954955,0.2785585236804749,0.24096385542168675,0.2543538475002034,0.7456461524997966,0.7590361445783133,NaN,0.24096385542168675,NaN,NaN,0.5567816078640221,0.2953812028239776,NaN,0.24096385542168675,0.002,0.0,0.0,0.0,0.0,0.0,28652.0,339810.0,41736.0,73.49397590361446,58.795180722891565,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,5,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,2.02510280642E7,742.0,82.0,32.0,50.0,0.0,39.02439024390244,60.97560975609756,0.0,0.2147098257038882,0.27770797928130475,0.37740001524553424,92.3111233307486,97.3668272557515,175.16764214488302,162.59501052256414,12.57263162231888,2.1361907578644272,1.9828659819824894,0.15332477588193758,33.22794878321825,0.40521888760022257,18.969227636080788,0.5555555555555556,5.0,0.1232876712328767,9.0,0.8767123287671232,64.0,0.4444444444444444,4.0,0.35714285714285715,0.5555555555555556,0.43478260869565216,0.35910146846105095,0.8515981735159818,0.37106991237426024,0.3902439024390244,0.17602220195200305,0.823977798047997,0.6097560975609756,0.4489913646768146,0.3902439024390244,0.39141267289250725,0.22293033341377844,0.6836284720578336,0.42043658021216734,0.37758537090188554,0.3902439024390244,0.015,0.0,0.0,0.0,0.0,0.0,28000.0,340263.0,41283.0,96.34146341463415,78.53658536585364,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,6,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,2.02510280642E7,742.0,82.0,19.0,63.0,0.0,23.170731707317074,76.82926829268293,0.0,0.02307110438729198,0.2900774546523746,0.4320347752698988,96.42278108530978,111.4622512794915,175.16764214488302,239.33344444966616,-64.16580230478314,2.1361907578644272,2.9187005420690997,-0.7825097842046724,29.87598648013344,0.3643412985382127,17.055653723661298,0.5555555555555556,5.0,0.3150684931506849,23.0,0.684931506849315,50.0,0.4444444444444444,4.0,0.17857142857142858,0.5555555555555556,0.2702702702702703,0.15852527184064116,0.7077625570776256,0.30276949789144914,0.23170731707317074,0.2218095484154886,0.7781904515845114,0.7682926829268293,0.23619241192411924,0.23170731707317074,0.21501968917745612,-0.003915570164044156,0.5976062185034436,0.3400547588492711,0.24639163189586094,0.23170731707317074,0.0,0.01,0.0,0.0,0.0,0.0,28656.0,340263.0,41283.0,80.48780487804878,60.2439024390244,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,7,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,2.02510280642E7,742.0,82.0,30.0,52.0,0.0,36.58536585365854,63.41463414634146,0.0,0.17396358000774892,0.2857808447310858,0.4219749915927837,94.99457261476219,108.86689044231017,175.16764214488302,253.0306151188134,-77.86297297393037,2.1361907578644272,3.0857392087660167,-0.9495484509015899,28.712142981339497,0.35014808513828655,16.391236777390297,0.4444444444444444,4.0,0.2054794520547945,15.0,0.7945205479452054,58.0,0.5555555555555556,5.0,0.21052631578947367,0.4444444444444444,0.2857142857142857,0.1770393850643762,0.7747336377473364,0.2680145819930766,0.36585365853658536,0.18783483498784115,0.8121651650121589,0.6341463414634146,0.4117331750567081,0.36585365853658536,0.3653211994902109,0.18781404424349069,0.6094620773056861,0.3484242771837448,0.3204958090398543,0.36585365853658536,0.006,0.0,0.015625,0.0,15.625,0.0,28754.0,340263.0,41283.0,73.17073170731707,60.48780487804881,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,8,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,2.02510280642E7,742.0,82.0,21.0,61.0,0.0,25.609756097560975,74.39024390243902,0.0,0.01612903225806453,0.2936097155927726,0.4437451832711491,97.59691722698389,114.48346279748864,175.16764214488302,318.42858279736356,-143.26094065248054,2.1361907578644272,3.8832753999678484,-1.7470846421034212,24.029724808456866,0.2930454244933764,13.718129966367659,0.2222222222222222,2.0,0.2465753424657534,18.0,0.7534246575342466,55.0,0.7777777777777778,7.0,0.1,0.2222222222222222,0.13793103448275865,-0.017726641238372007,0.621765601217656,0.18051377870515828,0.25609756097560976,0.2437510260984332,0.7562489739015669,0.7439024390243902,0.2825292593585277,0.25609756097560976,0.2560764062403006,0.020541843782664326,0.5735748917464587,0.3192707856757495,0.2356159719490561,0.25609756097560976,0.0,0.0,0.0,0.0,0.0,0.0,29178.0,340263.0,41283.0,69.51219512195122,56.34146341463417,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,9,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,2.02510280642E7,742.0,82.0,28.0,54.0,0.0,34.146341463414636,65.85365853658537,0.0,0.16183986371379902,0.28498637311069946,0.4297235447131094,94.69965334238974,110.82535313390595,175.52169311635683,253.91874024255543,-78.3970471261986,2.140508452638498,3.0965700029579932,-0.9560615503194951,33.0781576331763,0.4033921662582476,18.845623606905463,0.625,5.0,0.25675675675675674,19.0,0.7432432432432432,55.0,0.375,3.0,0.20833333333333334,0.625,0.3125,0.24014636794392155,0.7483108108108109,0.410424116945856,0.34146341463414637,0.18303498620571793,0.8169650137942822,0.6585365853658537,0.463279132791328,0.34146341463414637,0.33994708994708994,0.18326426939296164,0.6041834047931609,0.3730124038967065,0.3431878306878307,0.34146341463414637,0.014,0.002,0.0,0.0,0.0,0.0,28652.0,340263.0,41283.0,76.82926829268293,60.731707317073216,?,?,?,?,?,?,?
train_main_financial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast,1,10,weka.classifiers.bayes.NaiveBayes,-D,5995231201785697655,2.02510280642E7,742.0,82.0,27.0,55.0,0.0,32.926829268292686,67.07317073170732,0.0,0.15097891566265062,0.28719777884616104,0.43484508938964345,95.35793209949226,112.04525878556484,175.85952096565308,254.76491079522668,-78.90538982957361,2.144628304459184,3.1068891560393497,-0.9622608515801659,29.003589678667304,0.3537023131544793,16.492476221592778,0.875,7.0,0.33783783783783783,25.0,0.6621621621621622,49.0,0.125,1.0,0.21875,0.875,0.35,0.3267429872693976,0.8243243243243243,0.3263089535153753,0.32926829268292684,0.17512449724814777,0.8248755027518522,0.6707317073170732,0.390997901914503,0.32926829268292684,0.29908608134321235,0.15429702897239703,0.6107648013742452,0.36425710585254556,0.27212892945096334,0.32926829268292684,0.0,0.0,0.0,0.0,0.0,0.0,28756.0,340263.0,41283.0,75.60975609756098,57.80487804878053,?,?,?,?,?,?,?
